Matrix size,Total time,Compute time,Gflops
2000,0.24162640,0.024163,662.179298
2000,0.23818465,0.023818,671.747739
2000,0.22510610,0.022511,710.775941
2000,0.23928731,0.023929,668.652257
2000,0.24490746,0.024491,653.307988
4000,0.74886472,0.074886,1709.253976
4000,0.66107054,0.066107,1936.253278
4000,0.76242588,0.076243,1678.851720
4000,0.73678396,0.073678,1737.279948
4000,0.77334548,0.077335,1655.146417
6000,0.242660516,0.242661,1780.264903
6000,0.246335894,0.246336,1753.703015
6000,0.237247409,0.237247,1820.883953
6000,0.242168264,0.242168,1783.883622
6000,0.240055151,0.240055,1799.586463
8000,0.812949106,0.812949,1259.611447
8000,0.807558219,0.807558,1268.020034
8000,0.807200208,0.807200,1268.582428
8000,0.794513942,0.794514,1288.838302
8000,0.809530601,0.809531,1264.930564
10000,1.562892336,1.562892,1279.678679
10000,1.549089532,1.549090,1291.080960
10000,1.567183852,1.567184,1276.174456
10000,1.549694114,1.549694,1290.577271
10000,1.551894041,1.551894,1288.747780
12000,2.603441856,2.603442,1327.473472
12000,2.613061618,2.613062,1322.586492
12000,2.606559183,2.606559,1325.885874
12000,2.598402837,2.598403,1330.047809
12000,2.600230167,2.600230,1329.113108
14000,3.88725974,3.088726,1776.784359
14000,3.132451321,3.132451,1751.982533
14000,4.62187565,4.062188,1350.996209
14000,3.152698951,3.152699,1740.730747
14000,3.176121626,3.176122,1727.893527
16000,6.133797645,6.133798,1335.551069
16000,6.397801667,6.397802,1280.439818
16000,5.280447680,5.280448,1551.383613
16000,6.76913298,6.076913,1348.052802
16000,6.127913074,6.127913,1336.833584
18000,7.32455090,7.032455,1658.595732
18000,6.779833274,6.779833,1720.396288
18000,7.82552227,7.082552,1646.863959
18000,7.52208818,7.052209,1653.949890
18000,7.116047433,7.116047,1639.112177
20000,11.477911991,11.477912,1393.981764
20000,11.450968268,11.450968,1397.261753
20000,9.641181719,9.641182,1659.547602
20000,9.629217834,9.629218,1661.609518
20000,11.547619935,11.547620,1385.566904
22000,15.287586795,15.287587,1393.025615
22000,15.237403347,15.237403,1397.613459
22000,15.253875728,15.253876,1396.104202
22000,15.165254422,15.165254,1404.262626
22000,15.154089428,15.154089,1405.297237
24000,19.34730665,19.034731,1452.502822
24000,19.44075896,19.044076,1451.790055
24000,19.65144981,19.065145,1450.185667
24000,19.63794161,19.063794,1450.288425
24000,19.13456143,19.013456,1454.128055
26000,21.58761306,21.058761,1669.233982
26000,18.630317119,18.630317,1886.817051
26000,21.144624580,21.144625,1662.455622
26000,21.119698168,21.119698,1664.417726
26000,21.225229522,21.225230,1656.142279
28000,23.406478062,23.406478,1875.720041
28000,23.528624792,23.528625,1865.982410
28000,23.732496855,23.732497,1849.952842
28000,23.429090945,23.429091,1873.909667
28000,23.561362944,23.561363,1863.389656
30000,26.438774031,26.438774,2042.454765
30000,26.209569040,26.209569,2060.316212
30000,26.450651968,26.450652,2041.537580
30000,26.533361676,26.533362,2035.173705
30000,38.355280831,38.355281,1407.889574
