Matrix size,Total time,Compute time,Gflops
2000,0.39462558,0.039463,405.447614
2000,0.38004591,0.038005,421.001768
2000,0.37458168,0.037458,427.143153
2000,0.40118215,0.040118,398.821333
2000,0.38597995,0.038598,414.529304
4000,0.96132319,0.096132,1331.498099
4000,0.95867190,0.095867,1335.180472
4000,0.95774738,0.095775,1336.469331
4000,0.96165740,0.096166,1331.035356
4000,0.95085956,0.095086,1346.150424
6000,0.314095212,0.314095,1375.379132
6000,0.315080459,0.315080,1371.078363
6000,0.306165462,0.306165,1411.001741
6000,0.305959374,0.305959,1411.952163
6000,0.317256617,0.317257,1361.673727
8000,1.25187473,1.025187,998.841702
8000,1.33462251,1.033462,990.844125
8000,1.14850531,1.014851,1009.015583
8000,1.28437464,1.028437,995.685237
8000,1.17713133,1.017713,1006.177445
10000,1.813794002,1.813794,1102.661051
10000,1.805748447,1.805748,1107.573983
10000,1.829050953,1.829051,1093.463250
10000,1.831346585,1.831347,1092.092571
10000,1.832197406,1.832197,1091.585434
12000,2.731095387,2.731095,1265.426325
12000,2.729676217,2.729676,1266.084226
12000,2.759392787,2.759393,1252.449458
12000,2.380604115,2.380604,1451.732347
12000,2.772147252,2.772147,1246.687021
14000,4.209926772,4.209927,1303.585620
14000,4.218815592,4.218816,1300.839034
14000,4.213821392,4.213821,1302.380782
14000,4.193127880,4.193128,1308.808164
14000,4.210974555,4.210975,1303.261259
16000,4.734984579,4.734985,1730.100672
16000,6.530570476,6.530570,1254.408023
16000,6.487393381,6.487393,1262.756784
16000,5.897233686,5.897234,1389.125891
16000,5.872434325,5.872434,1394.992187
18000,5.771361231,5.771361,2021.013680
18000,7.466320448,7.466320,1562.215295
18000,5.534189307,5.534189,2107.625770
18000,7.349870838,7.349871,1586.966663
18000,7.303411977,7.303412,1597.061762
20000,11.432992361,11.432992,1399.458645
20000,12.535436404,12.535436,1276.381570
20000,12.306923648,12.306924,1300.081195
20000,12.165538106,12.165538,1315.190488
20000,12.493757864,12.493758,1280.639514
22000,11.754283225,11.754283,1811.765090
22000,11.792419401,11.792419,1805.905919
22000,9.620802889,9.620803,2213.536671
22000,11.321975128,11.321975,1880.943895
22000,9.283968372,9.283968,2293.846677
24000,19.963657092,19.963657,1384.916595
24000,19.270481066,19.270481,1434.733254
24000,18.618696195,18.618696,1484.958974
24000,19.370986266,19.370986,1427.289226
24000,19.491241250,19.491241,1418.483289
26000,22.839078198,22.839078,1539.116408
26000,21.405573617,21.405574,1642.189115
26000,21.376524241,21.376524,1644.420749
26000,19.104440841,19.104441,1839.991041
26000,20.994038697,20.994039,1674.380071
28000,18.522012806,18.522013,2370.368732
28000,23.11431937,23.011432,1907.921251
28000,24.691846488,24.691846,1778.076825
28000,23.860835946,23.860836,1840.002593
28000,24.14823197,24.014823,1828.204174
30000,29.391955713,29.391956,1837.237390
30000,24.951086860,24.951087,2164.234380
30000,25.825850511,25.825851,2090.928234
30000,25.914364940,25.914365,2083.786353
30000,31.798671802,31.798672,1698.184136
""
