Size,Total time,Compute time,Gflops
2000,1.532676854,1.532677,10.439252
2000,1.514291440,1.514291,10.565998
2000,1.526777713,1.526778,10.479587
2000,1.517843887,1.517844,10.541269
2000,1.517681933,1.517682,10.542393
2000,1.518375915,1.518376,10.537575
2000,1.512291257,1.512291,10.579973
2000,1.517702703,1.517703,10.542249
2000,1.515753151,1.515753,10.555809
2000,1.515017594,1.515018,10.560933
4000,3.291295065,3.291295,38.890466
4000,3.276157127,3.276157,39.070165
4000,3.283795451,3.283795,38.979285
4000,3.287260324,3.287260,38.938200
4000,3.286179480,3.286179,38.951007
4000,3.287935226,3.287935,38.930207
4000,3.281057627,3.281058,39.011811
4000,3.277739453,3.277739,39.051304
4000,3.281742834,3.281743,39.003666
4000,3.284140462,3.284140,38.975190
6000,8.279536259,8.279536,52.176835
6000,8.322539109,8.322539,51.907236
6000,8.352709697,8.352710,51.719743
6000,8.322379509,8.322380,51.908231
6000,8.430581905,8.430582,51.242014
6000,8.385631940,8.385632,51.516690
6000,8.527881891,8.527882,50.657362
6000,8.489491106,8.489491,50.886442
6000,8.339690304,8.339690,51.800485
6000,8.347340311,8.347340,51.753012
8000,18.298429983,18.298430,55.961085
8000,18.172679973,18.172680,56.348321
8000,18.485054721,18.485055,55.396103
8000,18.317093226,18.317093,55.904067
8000,18.374852831,18.374853,55.728337
8000,18.198858970,18.198859,56.267264
8000,18.245370270,18.245370,56.123827
8000,18.434205668,18.434206,55.548908
8000,18.331256020,18.331256,55.860875
8000,18.288666969,18.288667,55.990959
10000,33.615035273,33.615035,59.497186
10000,33.590465905,33.590466,59.540704
10000,33.780872639,33.780873,59.205102
10000,33.766802281,33.766802,59.229772
10000,33.759805299,33.759805,59.242048
10000,33.764807511,33.764808,59.233271
10000,33.785429639,33.785430,59.197116
10000,33.722709944,33.722710,59.307215
10000,33.821746091,33.821746,59.133553
10000,33.716445854,33.716446,59.318233
12000,58.82005275,58.082005,59.502078
12000,58.22980971,58.022981,59.562607
12000,57.968159542,57.968160,59.618936
12000,57.988438846,57.988439,59.598087
12000,58.4293783,58.004294,59.581796
12000,58.2240879,58.002241,59.583905
12000,58.29673023,58.029673,59.555738
12000,57.943336584,57.943337,59.644477
12000,57.886892945,57.886893,59.702634
12000,58.89572706,58.089573,59.494326
14000,90.653880100,90.653880,60.537949
14000,90.745427716,90.745428,60.476876
14000,90.840951035,90.840951,60.413282
14000,90.696671860,90.696672,60.509387
14000,90.819023694,90.819024,60.427868
14000,90.855239217,90.855239,60.403781
14000,90.975512803,90.975513,60.323925
14000,90.297873388,90.297873,60.776625
14000,90.760971617,90.760972,60.466519
14000,90.658590761,90.658591,60.534804
16000,136.817390614,136.817391,59.875429
16000,136.376016487,136.376016,60.069213
16000,136.797459479,136.797459,59.884153
16000,136.960094486,136.960094,59.813043
16000,137.75683034,137.075683,59.762606
16000,136.649637740,136.649638,59.948933
16000,137.78657687,137.078658,59.761309
16000,136.867577789,136.867578,59.853474
16000,136.900078342,136.900078,59.839265
16000,136.842981305,136.842981,59.864232
18000,191.439679396,191.439679,60.927808
18000,191.498673617,191.498674,60.909038
18000,191.439679396,191.439679,60.927808
18000,191.498673617,191.498674,60.909038
18000,191.182904078,191.182904,61.009639
18000,190.125604448,190.125604,61.348917
18000,191.257601405,191.257601,60.985811
18000,190.350121995,190.350122,61.276556
18000,191.370248168,191.370248,60.949913
18000,191.252930222,191.252930,60.987301
20000,261.164198618,261.164199,61.264140
20000,262.686386169,262.686386,60.909133
20000,260.574935423,260.574935,61.402682
20000,261.343829783,261.343830,61.222031
20000,261.145603255,261.145603,61.268502
20000,260.371985182,260.371985,61.450543
20000,261.176415244,261.176415,61.261274
20000,261.312906685,261.312907,61.229276
20000,261.376984586,261.376985,61.214265
20000,261.3969152,261.003969,61.301750
