Matrix size,Total time,Compute time,Gflops
2000,0.46802356,0.046802,341.863132
2000,0.39387519,0.039388,406.220052
2000,0.40461093,0.040461,395.441616
2000,0.40227485,0.040227,397.738014
2000,0.39038274,0.039038,409.854186
4000,0.98120901,0.098121,1304.513092
4000,0.94303173,0.094303,1357.324424
4000,0.97497133,0.097497,1312.859118
4000,0.96180614,0.096181,1330.829516
4000,0.95910520,0.095911,1334.577271
6000,0.315320698,0.315321,1370.033755
6000,0.290110276,0.290110,1489.088928
6000,0.313066068,0.313066,1379.900424
6000,0.299017542,0.299018,1444.731293
6000,0.313790017,0.313790,1376.716838
8000,1.64909751,1.064910,961.583833
8000,1.66891961,1.066892,959.797278
8000,1.50264222,1.050264,974.992748
8000,1.53542464,1.053542,971.958924
8000,1.52422712,1.052423,972.993065
10000,1.839480831,1.839481,1087.263301
10000,1.799813645,1.799814,1111.226157
10000,1.792173574,1.792174,1115.963336
10000,1.831779667,1.831780,1091.834371
10000,1.828397344,1.828397,1093.854138
12000,2.766231801,2.766232,1249.353000
12000,2.767152819,2.767153,1248.937166
12000,2.414042715,2.414043,1431.623384
12000,2.763302920,2.763303,1250.677215
12000,2.389780233,2.389780,1446.158083
14000,4.160922430,4.160922,1318.938311
14000,4.198916545,4.198917,1307.003829
14000,4.167550021,4.167550,1316.840823
14000,4.158962537,4.158963,1319.559854
14000,4.201014698,4.201015,1306.351059
16000,6.375796636,6.375797,1284.859049
16000,6.437781221,6.437781,1272.488101
16000,5.814909094,5.814909,1408.792445
16000,6.323732779,6.323733,1295.437408
16000,6.407732863,6.407733,1278.455294
18000,7.316681730,7.316682,1594.165283
18000,7.376975866,7.376976,1581.135714
18000,5.702547287,5.702547,2045.401715
18000,5.683543336,5.683543,2052.240884
18000,7.317448170,7.317448,1593.998308
20000,12.83896282,12.083896,1324.076244
20000,12.328510994,12.328511,1297.804740
20000,11.377397433,11.377397,1406.297011
20000,11.432713524,11.432714,1399.492777
20000,11.697478286,11.697478,1367.816174
22000,11.847562741,11.847563,1797.500504
22000,15.139072444,15.139072,1406.691201
22000,11.748132755,11.748133,1812.713598
22000,11.909168751,11.909169,1788.202052
22000,11.829186826,11.829187,1800.292811
24000,19.896200485,19.896200,1389.612053
24000,18.817668622,18.817669,1469.257460
24000,19.455220416,19.455220,1421.109574
24000,19.342042057,19.342042,1429.425079
24000,19.527359426,19.527359,1415.859636
26000,20.613980951,20.613981,1705.250436
26000,25.214955463,25.214955,1394.093281
26000,21.190283953,21.190284,1658.873476
26000,22.953895648,22.953896,1531.417609
26000,22.221903339,22.221903,1581.862699
28000,21.74840383,21.074840,2083.242350
28000,22.922867960,22.922868,1915.292627
28000,22.413488553,22.413489,1958.820462
28000,20.742077046,20.742077,2116.663625
28000,23.228549095,23.228549,1890.087918
30000,28.847601217,28.847601,1871.906076
30000,29.470285715,29.470286,1832.354139
30000,24.843599866,24.843600,2173.598041
30000,24.991631480,24.991631,2160.723282
30000,28.652439731,28.652440,1884.656263
""
