Matrix size,Total time,Compute time,Gflops
2000,0.33273685,0.033274,480.860476
2000,0.24210641,0.024211,660.866435
2000,0.25295677,0.025296,632.519145
2000,0.23208598,0.023209,689.399679
2000,0.23227936,0.023228,688.825731
2000,0.23110376,0.023110,692.329714
2000,0.24979335,0.024979,640.529462
2000,0.23768218,0.023768,673.167841
2000,0.24544184,0.024544,651.885595
4000,0.76096996,0.076097,1682.063770
4000,0.74668807,0.074669,1714.236575
4000,0.66510449,0.066510,1924.509636
4000,0.66094328,0.066094,1936.626090
4000,0.67423192,0.067423,1898.456543
6000,0.246847940,0.246848,1750.065243
6000,0.242660293,0.242660,1780.266539
6000,0.251234611,0.251235,1719.508305
6000,0.222519020,0.222519,1941.407076
6000,0.233324207,0.233324,1851.500989
8000,0.794772341,0.794772,1288.419271
8000,0.810338658,0.810339,1263.669195
8000,0.811550804,0.811551,1261.781758
8000,0.806561848,0.806562,1269.586458
8000,0.791527145,0.791527,1293.701683
10000,1.550471364,1.550471,1289.930305
10000,1.551766203,1.551766,1288.853950
10000,1.537417034,1.537417,1300.883206
10000,1.544956543,1.544957,1294.534794
10000,1.539759391,1.539759,1298.904239
12000,2.597990465,2.597990,1330.258924
12000,2.609461560,2.609462,1324.411156
12000,2.619256087,2.619256,1319.458612
12000,2.594326395,2.594326,1332.137701
12000,2.595252427,2.595252,1331.662371
14000,3.57654861,3.057655,1794.839591
14000,4.35304598,4.035305,1359.996468
14000,4.47385546,4.047386,1355.937046
14000,3.144086486,3.144086,1745.499058
14000,3.177522412,3.177522,1727.131799
16000,5.941958843,5.941959,1378.669933
16000,5.949874654,5.949875,1376.835728
16000,5.970789923,5.970790,1372.012766
16000,4.685208991,4.685209,1748.481234
16000,4.743093121,4.743093,1727.142983
18000,6.712179606,6.712180,1737.736575
18000,6.711554424,6.711554,1737.898445
18000,7.621032436,7.621032,1530.501293
18000,6.703966140,6.703966,1739.865589
18000,7.36414737,7.036415,1657.662380
20000,12.211536787,12.211537,1310.236400
20000,11.817833801,11.817834,1353.886023
20000,11.929664997,11.929665,1341.194409
20000,12.143028834,12.143029,1317.628429
20000,12.322578312,12.322578,1298.429565
22000,15.974131634,15.974132,1333.155410
22000,15.822515588,15.822516,1345.930101
22000,16.109343862,16.109344,1321.965698
22000,16.164526227,16.164526,1317.452779
22000,16.71018244,16.071018,1325.118277
24000,18.828588533,18.828589,1468.405343
24000,19.204361933,19.204362,1439.672929
24000,19.248998127,19.248998,1436.334495
24000,19.327665576,19.327666,1430.488327
24000,15.226076009,15.226076,1815.832259
26000,20.924464339,20.924464,1679.947426
26000,20.988706264,20.988706,1674.805467
26000,18.723649799,18.723650,1877.411743
26000,18.751238325,18.751238,1874.649524
26000,20.920762451,20.920762,1680.244689
28000,23.387654483,23.387654,1877.229717
28000,23.436901309,23.436901,1873.285185
28000,23.353411293,23.353411,1879.982305
28000,23.312792612,23.312793,1883.257863
28000,23.531155983,23.531156,1865.781691
30000,26.321927991,26.321928,2051.521455
30000,39.58460959,39.058461,1382.542954
30000,26.317672356,26.317672,2051.853191
30000,26.328563835,26.328564,2051.004390
30000,38.417411734,38.417412,1405.612652
