Matrix size,Total time,Compute time,Gflops
2000,0.36954708,0.036955,432.962425
2000,0.37884591,0.037885,422.335297
2000,0.39514828,0.039515,404.911291
2000,0.38842376,0.038842,411.921248
2000,0.39252436,0.039252,407.618014
4000,0.94875993,0.094876,1349.129489
4000,0.95392562,0.095393,1341.823695
4000,0.93620167,0.093620,1367.226786
4000,0.91921734,0.091922,1392.488962
4000,0.93983044,0.093983,1361.947800
6000,0.326094927,0.326095,1324.767619
6000,0.312544912,0.312545,1382.201352
6000,0.309878938,0.309879,1394.092812
6000,0.310541222,0.310541,1391.119663
6000,0.308239004,0.308239,1401.509849
8000,1.28626507,1.028627,995.502248
8000,1.16108425,1.016108,1007.766469
8000,1.19726526,1.019727,1004.190804
8000,1.18456223,1.018456,1005.443314
8000,1.16136133,1.016136,1007.738990
10000,1.811910718,1.811911,1103.807147
10000,1.824747974,1.824748,1096.041770
10000,1.814103646,1.814104,1102.472841
10000,1.796269282,1.796269,1113.418806
10000,1.818246795,1.818247,1099.960690
12000,2.770241071,2.770241,1247.544857
12000,2.756574765,2.756575,1253.729826
12000,2.771274443,2.771274,1247.079664
12000,2.750853192,2.750853,1256.337492
12000,2.758698888,2.758699,1252.764488
14000,3.178387588,3.178388,1726.661664
14000,4.205546142,4.205546,1304.943476
14000,4.200164715,4.200165,1306.615424
14000,4.171615462,4.171615,1315.557498
14000,4.178034517,4.178035,1313.536300
16000,4.471119031,4.471119,1832.203514
16000,5.884507328,5.884507,1392.130138
16000,5.849441093,5.849441,1400.475681
16000,5.868572102,5.868572,1395.910259
16000,5.281156098,5.281156,1551.175509
18000,7.435431406,7.435431,1568.705212
18000,7.352840453,7.352840,1586.325730
18000,5.817168284,5.817168,2005.099291
18000,7.343204040,7.343204,1588.407449
18000,7.395309835,7.395310,1577.215865
20000,11.789456825,11.789457,1357.144798
20000,9.421622733,9.421623,1698.221257
20000,11.981001655,11.981002,1335.447608
20000,11.796285954,11.796286,1356.359117
20000,11.914005036,11.914005,1342.957297
22000,15.922374984,15.922375,1337.488912
22000,9.643479055,9.643479,2208.331649
22000,9.147648518,9.147649,2328.029980
22000,9.183507680,9.183508,2318.939641
22000,11.879881606,11.879882,1792.610457
24000,14.229125417,14.229125,1943.056877
24000,19.34689307,19.034689,1452.505978
24000,20.148444717,20.148445,1372.215096
24000,19.826974804,19.826975,1394.463869
24000,19.225277520,19.225278,1438.106679
26000,21.200910406,21.200910,1658.042005
26000,22.543540877,22.543541,1559.293644
26000,25.49297107,25.049297,1403.312829
26000,25.550646789,25.550647,1375.777306
26000,23.385026470,23.385026,1503.184101
28000,22.761904239,22.761904,1928.836864
28000,24.130904860,24.130905,1819.409602
28000,31.318743209,31.318743,1401.844247
28000,25.870456762,25.870457,1697.070925
28000,22.692659055,22.692659,1934.722586
30000,27.264389602,27.264390,1980.605500
30000,26.688497714,26.688498,2023.343561
30000,26.229368510,26.229369,2058.760964
30000,26.215870334,26.215870,2059.820991
30000,23.848929755,23.848930,2264.252549
