Matrix size,Total time,Compute time,Gflops
2000,0.21503578,0.021504,744.062221
2000,0.20806899,0.020807,768.975713
2000,0.21498840,0.021499,744.226200
2000,0.20728081,0.020728,771.899724
2000,0.21038706,0.021039,760.503046
4000,0.77763076,0.077763,1646.025422
4000,0.75371901,0.075372,1698.245610
4000,0.76684810,0.076685,1669.170205
4000,0.84503683,0.084504,1514.726879
4000,0.84318466,0.084318,1518.054183
6000,0.252943435,0.252943,1707.891727
6000,0.265901747,0.265902,1624.660255
6000,0.245124231,0.245124,1762.371669
6000,0.241049870,0.241050,1792.160270
6000,0.257971386,0.257971,1674.604330
8000,0.619990265,0.619990,1651.638837
8000,0.619967894,0.619968,1651.698435
8000,0.610415960,0.610416,1677.544604
8000,0.640670228,0.640670,1598.326183
8000,0.637804784,0.637805,1605.506929
10000,1.95199550,1.095200,1826.151225
10000,1.101683870,1.101684,1815.402816
10000,1.129606613,1.129607,1770.527878
10000,1.101240094,1.101240,1816.134384
10000,1.98903303,1.098903,1819.996350
12000,1.812273606,1.812274,1906.996818
12000,1.865763706,1.865764,1852.324594
12000,1.842997887,1.842998,1875.205623
12000,1.883673579,1.883674,1834.712786
12000,1.902373243,1.902373,1816.678201
14000,2.712202639,2.712203,2023.447629
14000,2.797313907,2.797314,1961.882071
14000,2.722607508,2.722608,2015.714709
14000,2.731318689,2.731319,2009.285852
14000,2.728468462,2.728468,2011.384803
16000,3.791660081,3.791660,2160.531225
16000,3.928192774,3.928193,2085.437368
16000,3.682030171,3.682030,2224.859553
16000,3.868024837,3.868025,2117.876783
16000,3.987964189,3.987964,2054.180933
18000,4.958223739,4.958224,2352.455358
18000,5.454199492,5.454199,2138.535640
18000,4.736340567,4.736341,2462.660747
18000,5.254256029,5.254256,2219.914663
18000,5.171989069,5.171989,2255.225184
20000,6.761228454,6.761228,2366.433868
20000,6.605067133,6.605067,2422.382646
20000,7.182086286,7.182086,2227.764937
20000,6.855106534,6.855107,2334.026455
20000,7.108788785,7.108789,2250.735039
22000,12.559301506,12.559302,1695.635700
22000,12.578761839,12.578762,1693.012418
22000,12.588315498,12.588315,1691.727539
22000,12.654780600,12.654781,1682.842293
22000,12.653318861,12.653319,1683.036698
24000,12.856983594,12.856984,2150.426638
24000,14.402833189,14.402833,1919.622316
24000,14.533556779,14.533557,1902.356073
24000,13.584132462,13.584132,2035.315842
24000,14.201410444,14.201410,1946.848879
26000,15.262940129,15.262940,2303.094928
26000,15.40672669,15.040673,2337.129514
26000,17.414916900,17.414917,2018.499439
26000,15.52312161,15.052312,2335.322283
26000,14.991226456,14.991226,2344.838169
28000,20.172560258,20.172560,2176.421805
28000,20.162768818,20.162769,2177.478718
28000,20.413631677,20.413632,2150.719710
28000,20.415189636,20.415190,2150.555581
28000,19.863312174,19.863312,2210.306097
30000,23.201770899,23.201771,2327.408551
30000,22.813363591,22.813364,2367.033681
30000,23.196219996,23.196220,2327.965505
30000,23.248011544,23.248012,2322.779301
30000,28.161742175,28.161742,1917.495007
