Matrix size,Total time,Compute time,Gflops
2000,0.33084893,0.033085,483.604405
2000,0.33310389,0.033310,480.330626
2000,0.34214905,0.034215,467.632454
2000,0.33891760,0.033892,472.091151
2000,0.32976015,0.032976,485.201138
4000,0.156360854,0.156361,818.619218
4000,0.158027458,0.158027,809.985819
4000,0.153708741,0.153709,832.743793
4000,0.160449498,0.160449,797.758806
4000,0.155086655,0.155087,825.345030
6000,0.473649053,0.473649,912.067695
6000,0.475790234,0.475790,907.963151
6000,0.472377257,0.472377,914.523283
6000,0.471460669,0.471461,916.301249
6000,0.470691846,0.470692,917.797926
8000,0.942703892,0.942704,1086.237162
8000,0.955593117,0.955593,1071.585785
8000,0.964717095,0.964717,1061.451078
8000,0.961821779,0.961822,1064.646302
8000,0.959959301,0.959959,1066.711890
10000,1.604306483,1.604306,1246.644591
10000,1.685114248,1.685114,1186.863147
10000,1.615527717,1.615528,1237.985569
10000,1.652294627,1.652295,1210.437877
10000,1.606986041,1.606986,1244.565882
12000,2.495133606,2.495134,1385.096169
12000,2.581057144,2.581057,1338.986240
12000,2.527761661,2.527762,1367.217508
12000,2.549387824,2.549388,1355.619560
12000,2.523967385,2.523967,1369.272844
14000,3.603610425,3.603610,1522.917117
14000,3.581287842,3.581288,1532.409636
14000,3.523912853,3.523913,1557.359739
14000,3.561502652,3.561503,1540.922621
14000,3.528816032,3.528816,1555.195836
16000,4.378298515,4.378299,1871.046474
16000,3.956004254,3.956004,2070.776337
16000,4.496594555,4.496595,1821.823137
16000,4.472371254,4.472371,1831.690514
16000,4.826902409,4.826902,1697.154677
18000,6.4323714,6.004324,1942.600125
18000,6.488649538,6.488650,1797.600553
18000,5.970623363,5.970623,1953.564861
18000,5.867554674,5.867555,1987.880923
18000,4.870263904,4.870264,2394.942087
20000,7.335640465,7.335640,2181.131978
20000,8.518050419,8.518050,1878.364087
20000,8.466351652,8.466352,1889.834094
20000,8.515030300,8.515030,1879.030307
20000,8.846083425,8.846083,1808.710051
22000,8.978631360,8.978631,2371.853699
22000,11.198414135,11.198414,1901.697843
22000,13.729914405,13.729914,1551.065751
22000,10.813643385,10.813643,1969.364001
22000,11.64187260,11.064187,1924.768580
24000,12.235031192,12.235031,2259.740868
24000,11.935931481,11.935931,2316.367185
24000,12.765495768,12.765496,2165.838327
24000,16.664812428,16.664812,1659.064578
24000,12.997335897,12.997336,2127.205161
26000,19.927508842,19.927509,1763.993697
26000,19.675054236,19.675054,1786.627858
26000,20.827897367,20.827897,1687.736375
26000,21.99047123,21.099047,1666.046803
26000,20.780640950,20.780641,1691.574388
28000,24.127404646,24.127405,1819.673547
28000,21.378451486,21.378451,2053.656694
28000,23.490506392,23.490506,1869.010368
28000,21.641756476,21.641756,2028.670827
28000,20.833934292,20.833934,2107.331212
30000,23.574226068,23.574226,2290.637234
30000,20.784104913,20.784105,2598.139310
30000,20.441341530,20.441342,2641.705287
30000,20.251677632,20.251678,2666.445762
30000,23.126963584,23.126964,2334.936872
""
