Size,Total time,Compute time,Gflops
2000,1.415996628,1.415997,11.299462
2000,1.488074993,1.488075,10.752146
2000,1.371451041,1.371451,11.666476
2000,1.385401994,1.385402,11.548994
2000,1.421509252,1.421509,11.255643
2000,1.260802804,1.260803,12.690327
2000,1.371468745,1.371469,11.666325
2000,1.459049029,1.459049,10.966047
2000,1.304094709,1.304095,12.269048
2000,1.469644584,1.469645,10.886986
4000,3.657428434,3.657428,34.997267
4000,3.676784406,3.676784,34.813028
4000,3.691454568,3.691455,34.674678
4000,3.570112595,3.570113,35.853211
4000,3.476672414,3.476672,36.816814
4000,3.487274732,3.487275,36.704880
4000,3.701428410,3.701428,34.581244
4000,3.641423401,3.641423,35.151090
4000,3.448300362,3.448300,37.119736
4000,3.697758230,3.697758,34.615568
6000,7.843446351,7.843446,55.077829
6000,7.753843899,7.753844,55.714302
6000,7.759327109,7.759327,55.674931
6000,7.755362067,7.755362,55.703395
6000,7.720303657,7.720304,55.956348
6000,7.747806900,7.747807,55.757714
6000,7.709393200,7.709393,56.035539
6000,7.865576187,7.865576,54.922868
6000,7.810333839,7.810334,55.311336
6000,7.751924220,7.751924,55.728099
8000,14.693637400,14.693637,69.690028
8000,14.679681815,14.679682,69.756280
8000,14.642931161,14.642931,69.931354
8000,14.523046957,14.523047,70.508620
8000,14.363550076,14.363550,71.291568
8000,14.544335390,14.544335,70.405417
8000,14.604588290,14.604588,70.114952
8000,14.579184143,14.579184,70.237126
8000,14.623872317,14.623872,70.022493
8000,14.668071223,14.668071,69.811496
10000,25.899880668,25.899881,77.220433
10000,25.532528794,25.532529,78.331450
10000,25.888065343,25.888065,77.255676
10000,25.891547473,25.891547,77.245286
10000,25.930229927,25.930230,77.130053
10000,25.775497436,25.775497,77.593071
10000,25.941778218,25.941778,77.095717
10000,25.879471147,25.879471,77.281332
10000,25.895384077,25.895384,77.233842
10000,25.824756323,25.824756,77.445068
12000,42.59772753,42.059773,82.168775
12000,41.932367518,41.932368,82.418432
12000,42.17284873,42.017285,82.251864
12000,41.975483857,41.975484,82.333774
12000,41.906048640,41.906049,82.470195
12000,41.972254984,41.972255,82.340108
12000,41.972149209,41.972149,82.340315
12000,41.906624685,41.906625,82.469061
12000,41.936061153,41.936061,82.411173
12000,41.921357438,41.921357,82.440079
14000,64.724477877,64.724478,84.790178
14000,64.719685524,64.719686,84.796457
14000,64.717297872,64.717298,84.799585
14000,64.507783453,64.507783,85.075005
14000,64.636765570,64.636766,84.905239
14000,64.445212559,64.445213,85.157606
14000,64.530100158,64.530100,85.045583
14000,64.511908146,64.511908,85.069566
14000,64.661385572,64.661386,84.872911
14000,64.534514779,64.534515,85.039765
16000,94.198774760,94.198775,86.965038
16000,93.729114730,93.729115,87.400804
16000,93.841773987,93.841774,87.295877
16000,93.792934254,93.792934,87.341334
16000,93.985088976,93.985089,87.162763
16000,94.124072285,94.124072,87.034058
16000,93.764363486,93.764363,87.367948
16000,95.395044001,95.395044,85.874482
16000,93.542428021,93.542428,87.575234
16000,93.659657563,93.659658,87.465620
18000,130.456878903,130.456879,89.408854
18000,130.751893808,130.751894,89.207121
18000,130.391048460,130.391048,89.453993
18000,130.688489325,130.688489,89.250400
18000,130.870779908,130.870780,89.126083
18000,130.678290285,130.678290,89.257366
18000,130.367410652,130.367411,89.470213
18000,130.446931616,130.446932,89.415672
18000,131.142811365,131.142811,88.941208
18000,130.898503688,130.898504,89.107207
20000,173.750860270,173.750860,92.085875
20000,173.241085497,173.241085,92.356845
20000,173.518013889,173.518014,92.209446
20000,174.121490881,174.121491,91.889863
20000,172.744010006,172.744010,92.622604
20000,176.644069462,176.644069,90.577623
20000,173.556858241,173.556858,92.188809
20000,177.869911956,177.869912,89.953381
20000,173.835893977,173.835894,92.040830
20000,172.419794750,172.419795,92.796770
