Matrix size,Total time,Compute time,Gflops
2000,0.35507312,0.035507,450.611412
2000,0.33336621,0.033337,479.952662
2000,0.33366778,0.033367,479.518880
2000,0.33657423,0.033657,475.378047
2000,0.33581220,0.033581,476.456781
4000,0.154572824,0.154573,828.088643
4000,0.156859154,0.156859,816.018681
4000,0.156749486,0.156749,816.589600
4000,0.157202860,0.157203,814.234550
4000,0.159601855,0.159602,801.995691
6000,0.473129241,0.473129,913.069755
6000,0.473691715,0.473692,911.985552
6000,0.470579527,0.470580,918.016988
6000,0.471605883,0.471606,916.019107
6000,0.472635775,0.472636,914.023066
8000,0.963790381,0.963790,1062.471695
8000,0.949125768,0.949126,1078.887577
8000,0.952823914,0.952824,1074.700147
8000,0.948944358,0.948944,1079.093828
8000,0.963860002,0.963860,1062.394951
10000,1.728155280,1.728155,1157.303411
10000,1.678005239,1.678005,1191.891392
10000,1.671161233,1.671161,1196.772616
10000,1.664086626,1.664087,1201.860509
10000,1.667104875,1.667105,1199.684573
12000,2.540028904,2.540029,1360.614438
12000,2.572366860,2.572367,1343.509767
12000,2.583688308,2.583688,1337.622649
12000,2.483865115,2.483865,1391.379902
12000,2.562836434,2.562836,1348.505880
14000,3.592639663,3.592640,1527.567615
14000,3.606665082,3.606665,1521.627286
14000,3.538600692,3.538601,1550.895531
14000,3.560052684,3.560053,1541.550220
14000,3.691210996,3.691211,1486.774938
16000,4.924832199,4.924832,1663.406928
16000,3.990519315,3.990519,2052.865643
16000,5.24636050,5.024636,1630.366840
16000,4.894551765,4.894552,1673.697694
16000,5.2046092,5.002046,1637.729811
18000,6.174210005,6.174210,1889.148570
18000,5.888038937,5.888039,1980.965161
18000,6.132402409,6.132402,1902.027822
18000,5.979059916,5.979060,1950.808348
18000,6.91550584,6.091551,1914.783410
20000,8.729217567,8.729218,1832.924873
20000,8.595290894,8.595291,1861.484410
20000,8.542126058,8.542126,1873.069994
20000,8.496988730,8.496989,1883.020033
20000,8.407796450,8.407796,1902.995642
22000,11.850375216,11.850375,1797.073900
22000,14.169424368,14.169424,1502.954492
22000,11.65928702,11.065929,1924.465680
22000,10.464323680,10.464324,2035.105244
22000,10.860307177,10.860307,1960.902178
24000,12.248497026,12.248497,2257.256539
24000,16.565482617,16.565483,1669.012648
24000,16.540393570,16.540394,1671.544264
24000,12.620986536,12.620987,2190.636993
24000,16.425909136,16.425909,1683.194505
26000,20.399155853,20.399156,1723.208561
26000,19.888026995,19.888027,1767.495590
26000,21.257095323,21.257095,1653.659612
26000,16.35918934,16.035919,2192.078929
26000,20.279343922,20.279344,1733.389410
28000,20.493467232,20.493467,2142.341240
28000,22.482661118,22.482661,1952.793745
28000,21.568242703,21.568243,2035.585402
28000,19.341304979,19.341305,2269.960587
28000,18.270502110,18.270502,2402.999093
30000,23.791850480,23.791850,2269.684741
30000,18.698223430,18.698223,2887.974903
30000,20.992490119,20.992490,2572.348478
30000,23.977789378,23.977789,2252.084175
30000,25.798258852,25.798259,2093.164516
""
