Matrix size,Total time,Compute time,Gflops
2000,0.22258336,0.022258,718.831812
2000,0.20881020,0.020881,766.246093
2000,0.20941984,0.020942,764.015482
2000,0.21464676,0.021465,745.410739
2000,0.21842986,0.021843,732.500584
2000,0.21799455,0.021799,733.963303
2000,0.21309094,0.021309,750.853133
2000,0.21104771,0.021105,758.122417
4000,0.75742050,0.075742,1689.946338
4000,0.84354722,0.084355,1517.401717
4000,0.75814516,0.075815,1688.331031
4000,0.85364757,0.085365,1499.447834
4000,0.77896914,0.077897,1643.197316
6000,0.239172617,0.239173,1806.226839
6000,0.250688827,0.250689,1723.251910
6000,0.233415235,0.233415,1850.778935
6000,0.248463733,0.248464,1738.684333
6000,0.231722578,0.231723,1864.298264
8000,0.657193037,0.657193,1558.141889
8000,0.619573861,0.619574,1652.748872
8000,0.624141508,0.624142,1640.653581
8000,0.634177601,0.634178,1614.689636
8000,0.633362692,0.633363,1616.767159
10000,1.144515569,1.144516,1747.464215
10000,1.131946900,1.131947,1766.867333
10000,1.112248351,1.112248,1798.159555
10000,1.144056867,1.144057,1748.164849
10000,1.141022172,1.141022,1752.814318
12000,1.886160065,1.886160,1832.294122
12000,1.859351707,1.859352,1858.712360
12000,1.896401907,1.896402,1822.398505
12000,1.852877830,1.852878,1865.206623
12000,1.912478341,1.912478,1807.079289
14000,2.717769952,2.717770,2019.302626
14000,2.746498846,2.746499,1998.180341
14000,2.743159099,2.743159,2000.613089
14000,2.795075483,2.795075,1963.453235
14000,2.751124503,2.751125,1994.820661
16000,4.26852236,4.026852,2034.343333
16000,3.932861967,3.932862,2082.961484
16000,3.935012354,3.935012,2081.823197
16000,3.841935048,3.841935,2132.258848
16000,3.844507255,3.844507,2130.832238
18000,5.226412709,5.226413,2231.741091
18000,5.72904018,5.072904,2299.274727
18000,5.348126436,5.348126,2180.950682
18000,5.662845745,5.662846,2059.741784
18000,5.393101445,5.393101,2162.762952
20000,6.762200994,6.762201,2366.093527
20000,6.758779267,6.758779,2367.291395
20000,6.675945123,6.675945,2396.664398
20000,7.69261279,7.069261,2263.319938
20000,7.226107014,7.226107,2214.193613
22000,12.625832816,12.625833,1686.700617
22000,12.654080980,12.654081,1682.935334
22000,12.711750386,12.711750,1675.300360
22000,12.834172029,12.834172,1659.320130
22000,12.768972371,12.768972,1667.792786
24000,14.53088105,14.053088,1967.396760
24000,14.535918397,14.535918,1902.047001
24000,14.611083700,14.611084,1892.262105
24000,14.752089792,14.752090,1874.175143
24000,14.956954915,14.956955,1848.504603
26000,14.910156860,14.910157,2357.587538
26000,14.971897940,14.971898,2347.865323
26000,17.909941584,17.909942,1962.708803
26000,15.26064139,15.026064,2339.401701
26000,14.953602174,14.953602,2350.737942
28000,20.416306540,20.416307,2150.437931
28000,20.395874413,20.395874,2152.592191
28000,20.537853317,20.537853,2137.711246
28000,20.465471288,20.465471,2145.271877
28000,19.935602992,19.935603,2202.291048
30000,28.441424232,28.441424,1898.639096
30000,23.259318601,23.259319,2321.650128
30000,23.353612505,23.353613,2312.276098
30000,23.297040780,23.297041,2317.890951
30000,23.342771063,23.342771,2313.350024
