Matrix size,Total time,Compute time,Gflops
2000,0.32949457,0.032949,485.592221
2000,0.32608177,0.032608,490.674471
2000,0.33175281,0.033175,482.286797
2000,0.32892599,0.032893,486.431613
2000,0.32944679,0.032945,485.662647
4000,0.155098731,0.155099,825.280769
4000,0.155698118,0.155698,822.103707
4000,0.158826615,0.158827,805.910269
4000,0.154588188,0.154588,828.006342
4000,0.155467571,0.155468,823.322827
6000,0.467057540,0.467058,924.939570
6000,0.464972708,0.464973,929.086788
6000,0.459615479,0.459615,939.916125
6000,0.461759431,0.461759,935.552088
6000,0.472573087,0.472573,914.144313
8000,0.949671899,0.949672,1078.267137
8000,0.945615749,0.945616,1082.892286
8000,0.951245429,0.951245,1076.483491
8000,0.952029287,0.952029,1075.597163
8000,0.948007199,0.948007,1080.160574
10000,1.621877002,1.621877,1233.139133
10000,1.587584690,1.587585,1259.775313
10000,1.644993965,1.644994,1215.809932
10000,1.625781359,1.625781,1230.177717
10000,1.661306225,1.661306,1203.871971
12000,2.575402874,2.575403,1341.925970
12000,2.570416366,2.570416,1344.529254
12000,2.503797212,2.503797,1380.303478
12000,2.463290144,2.463290,1403.001595
12000,2.529270465,2.529270,1366.401912
14000,3.610149501,3.610150,1520.158652
14000,3.576506103,3.576506,1534.458447
14000,3.519763055,3.519763,1559.195865
14000,3.465194330,3.465194,1583.749561
14000,3.531213410,3.531213,1554.139997
16000,4.632200579,4.632201,1768.489913
16000,4.619955928,4.619956,1773.177088
16000,4.515475154,4.515475,1814.205531
16000,4.964258680,4.964259,1650.196037
16000,4.575752982,4.575753,1790.306433
18000,6.127738401,6.127738,1903.475514
18000,6.7558937,6.007559,1941.553986
18000,5.879313198,5.879313,1983.905196
18000,5.739520122,5.739520,2032.225648
18000,5.881173612,5.881174,1983.277619
20000,8.617122744,8.617123,1856.768260
20000,8.948689817,8.948690,1787.971237
20000,8.582015051,8.582015,1864.364011
20000,8.562504273,8.562504,1868.612206
20000,8.396115352,8.396115,1905.643185
22000,10.987053302,10.987053,1938.281304
22000,13.994439974,13.994440,1521.747211
22000,13.927375676,13.927376,1529.074859
22000,13.949981713,13.949982,1526.596983
22000,11.40572589,11.040573,1928.885466
24000,16.608056191,16.608056,1664.734252
24000,12.686578885,12.686579,2179.310928
24000,12.317866802,12.317867,2244.544485
24000,12.344620394,12.344620,2239.680048
24000,13.529036403,13.529036,2043.604524
26000,21.48606420,21.048606,1670.039303
26000,20.207531407,20.207531,1739.549443
26000,20.314670638,20.314671,1730.375088
26000,21.263939451,21.263939,1653.127356
26000,19.543567658,19.543568,1798.648057
28000,21.715562622,21.715563,2021.775846
28000,21.147700887,21.147701,2076.064922
28000,20.901569854,20.901570,2100.512081
28000,21.368690291,21.368690,2054.594802
28000,19.98013685,19.098014,2298.877817
30000,25.275616741,25.275617,2136.446384
30000,22.26903937,22.026904,2451.547442
30000,21.186518542,21.186519,2548.790633
30000,21.97917961,21.097918,2559.494264
30000,24.334567649,24.334568,2219.065519
""
