Size,Total time,Compute time,Gflops
2000,0.78373254,0.078373,204.151278
2000,0.77880533,0.077881,205.442867
2000,0.80945309,0.080945,197.664327
2000,0.81111288,0.081111,197.259844
2000,0.83486621,0.083487,191.647474
2000,0.80434709,0.080435,198.919101
2000,0.83619720,0.083620,191.342425
2000,0.81254286,0.081254,196.912690
2000,0.82009922,0.082010,195.098344
2000,0.80805044,0.080805,198.007441
3000,0.148223021,0.148223,364.315878
3000,0.148136128,0.148136,364.529576
3000,0.147211855,0.147212,366.818284
3000,0.153248352,0.153248,352.369205
3000,0.147510685,0.147511,366.075176
3000,0.154009789,0.154010,350.627063
3000,0.150613172,0.150613,358.534378
3000,0.153108841,0.153109,352.690280
3000,0.155049699,0.155050,348.275426
3000,0.155648701,0.155649,346.935115
4000,0.253328730,0.253329,505.272339
4000,0.245018321,0.245018,522.409914
4000,0.242435910,0.242436,527.974589
4000,0.253223740,0.253224,505.481832
4000,0.233695488,0.233695,547.721315
4000,0.248097290,0.248097,515.926635
4000,0.255695044,0.255695,500.596328
4000,0.268274577,0.268275,477.123108
4000,0.251425820,0.251426,509.096480
4000,0.257294462,0.257294,497.484474
5000,0.457335696,0.457336,546.644406
5000,0.437968817,0.437969,570.816894
5000,0.445382817,0.445383,561.314874
5000,0.438466311,0.438466,570.169232
5000,0.455916366,0.455916,548.346185
5000,0.436120672,0.436121,573.235841
5000,0.442207254,0.442207,565.345769
5000,0.450316842,0.450317,555.164668
5000,0.424720400,0.424720,588.622538
5000,0.425462164,0.425462,587.596316
6000,0.716460245,0.716460,602.964370
6000,0.755832248,0.755832,571.555396
6000,0.797752936,0.797753,541.521041
6000,0.821183898,0.821184,526.069740
6000,0.745426164,0.745426,579.534260
6000,0.967837030,0.967837,446.356139
6000,0.816959646,0.816960,528.789888
6000,0.972037726,0.972038,444.427195
6000,0.969942998,0.969943,445.386998
6000,0.704974426,0.704974,612.788186
7000,1.519931786,1.519932,451.336044
7000,1.600480599,1.600481,428.621253
7000,1.368280306,1.368280,501.359259
7000,1.220033008,1.220033,562.279869
7000,1.441922702,1.441923,475.753658
7000,1.180789494,1.180789,580.967229
7000,1.277782032,1.277782,536.867778
7000,1.926082459,1.926082,356.163360
7000,1.570085805,1.570086,436.918796
7000,1.275621350,1.275621,537.777139
8000,1.785662062,1.785662,573.456771
8000,1.961544212,1.961544,522.037685
8000,2.359939050,2.359939,433.909511
8000,2.460889942,2.460890,416.109629
8000,2.685320571,2.685321,381.332498
8000,1.707937118,1.707937,599.553689
8000,1.735212743,1.735213,590.129368
8000,2.45270065,2.045270,500.667378
8000,2.67622671,2.067623,495.254775
8000,1.880330131,1.880330,544.585221
9000,3.161454882,3.161455,461.180075
9000,2.672004630,2.672005,545.657737
9000,2.532182501,2.532183,575.787882
9000,2.553617819,2.553618,570.954662
9000,2.640323340,2.640323,552.205095
9000,2.545302964,2.545303,572.819826
9000,2.436914452,2.436914,598.297572
9000,2.459817869,2.459818,592.726811
9000,2.772420315,2.772420,525.894285
9000,3.255802379,3.255802,447.815878
10000,3.430164198,3.430164,583.062467
10000,4.320792662,4.320793,462.878031
10000,2.985299270,2.985299,669.949583
10000,3.58033316,3.058033,654.015111
10000,3.576191413,3.576191,559.254181
10000,3.333461059,3.333461,599.977010
10000,3.16498272,3.016498,663.020436
10000,3.526546547,3.526547,567.127067
10000,4.536755570,4.536756,440.843675
10000,3.546840395,3.546840,563.882153
11000,4.40754867,4.040755,658.787798
11000,4.147421770,4.147422,641.844536
11000,4.337996725,4.337997,613.647305
11000,4.516598802,4.516599,589.381549
11000,4.173710482,4.173710,637.801786
11000,4.98951516,4.098952,649.434371
11000,4.323523642,4.323524,615.701502
11000,4.80987472,4.080987,652.293108
11000,4.582032393,4.582032,580.964902
11000,5.197614907,5.197615,512.157989
12000,4.560194960,4.560195,757.862335
12000,5.219359663,5.219360,662.150191
12000,4.613655142,4.613655,749.080695
12000,4.593583181,4.593583,752.353852
12000,5.202193256,5.202193,664.335181
12000,4.611483735,4.611484,749.433414
12000,5.163817770,5.163818,669.272262
12000,4.587333950,4.587334,753.378768
12000,5.291230905,5.291231,653.156149
12000,4.614311281,4.614311,748.974178
13000,5.743174574,5.743175,765.082089
13000,5.837949063,5.837949,752.661586
13000,5.697690838,5.697691,771.189614
13000,5.795065668,5.795066,758.231270
13000,6.204499389,6.204499,708.195734
13000,6.15349652,6.015350,730.464604
13000,5.741882765,5.741883,765.254217
13000,4.725148660,4.725149,929.917832
13000,4.887469427,4.887469,899.033757
13000,6.237926031,6.237926,704.400786
14000,9.60804557,9.060805,605.685728
14000,9.98377317,9.098377,603.184481
14000,9.34630421,9.034630,607.440453
14000,9.25026796,9.025027,608.086837
14000,9.38494423,9.038494,607.180770
14000,8.591246427,8.591246,638.789732
14000,9.147071093,9.147071,599.973472
14000,9.56890995,9.056891,605.947450
14000,8.975172663,8.975173,611.464560
14000,9.25857535,9.025858,608.030869
15000,10.969289494,10.969289,615.354349
15000,10.999109345,10.999109,613.686053
15000,10.928219993,10.928220,617.666921
15000,11.119330985,11.119331,607.050911
15000,10.619372155,10.619372,635.630798
15000,10.783018112,10.783018,625.984296
15000,10.906680502,10.906681,618.886745
15000,10.977443008,10.977443,614.897294
15000,11.77839536,11.077840,609.324587
15000,10.481697352,10.481697,643.979670
16000,10.118506552,10.118507,809.605643
16000,13.268846007,13.268846,617.386018
16000,13.473461554,13.473462,608.010048
16000,13.155607248,13.155607,622.700256
16000,13.222320671,13.222321,619.558412
16000,13.429323158,13.429323,610.008405
16000,13.440108756,13.440109,609.518877
16000,13.327417057,13.327417,614.672743
16000,13.484907472,13.484907,607.493972
16000,8.402206073,8.402206,974.982038
17000,13.979096950,13.979097,702.906635
17000,15.157945451,15.157945,648.240887
17000,15.938700783,15.938701,616.486885
17000,15.542749607,15.542750,632.191874
17000,14.962457129,14.962457,656.710319
17000,15.912309481,15.912309,617.509357
17000,15.519405738,15.519406,633.142800
17000,15.459226207,15.459226,635.607492
17000,15.162768534,15.162769,648.034690
17000,15.265778223,15.265778,643.661912
18000,11.824554070,11.824554,986.421977
18000,17.408177632,17.408178,670.029928
18000,18.438389869,18.438390,632.593197
18000,14.59096649,14.059097,829.640786
18000,17.377684633,17.377685,671.205644
18000,17.810311073,17.810311,654.901532
18000,14.587808385,14.587808,799.571786
18000,16.159942320,16.159942,721.784754
18000,13.400610279,13.400610,870.408120
18000,17.626301043,17.626301,661.738386
19000,17.363809586,17.363810,790.034003
19000,20.472391867,20.472392,670.073145
19000,20.284158121,20.284158,676.291317
19000,16.217214874,16.217215,845.891240
19000,19.868573377,19.868573,690.437091
19000,16.58365356,16.058365,854.258805
19000,14.876646949,14.876647,922.116391
19000,21.205378871,21.205379,646.911337
19000,18.12692066,18.012692,761.574114
19000,18.966155850,18.966156,723.288373
20000,17.172371549,17.172372,931.729200
20000,25.247416600,25.247417,633.728205
20000,14.671908510,14.671909,1090.519341
20000,16.975101911,16.975102,942.556933
20000,21.330254267,21.330254,750.108264
20000,25.830971918,25.830972,619.411459
20000,17.228635527,17.228636,928.686429
20000,14.531094880,14.531095,1101.087023
20000,17.49899961,17.049900,938.421928
20000,17.126525275,17.126525,934.223361
