Size,Total time,Compute time,Gflops
2000,0.108554950,0.108555,147.390791
2000,0.109822759,0.109823,145.689292
2000,0.111327925,0.111328,143.719556
2000,0.110868192,0.110868,144.315513
2000,0.109271269,0.109271,146.424583
2000,0.111349916,0.111350,143.691173
2000,0.110576165,0.110576,144.696644
2000,0.107384232,0.107384,148.997667
2000,0.110687554,0.110688,144.551031
2000,0.110207344,0.110207,145.180887
3000,0.322124891,0.322125,167.636844
3000,0.319958681,0.319959,168.771792
3000,0.332962258,0.332962,162.180544
3000,0.320632443,0.320632,168.417143
3000,0.318530263,0.318530,169.528633
3000,0.329206637,0.329207,164.030715
3000,0.329043661,0.329044,164.111960
3000,0.325843863,0.325844,165.723545
3000,0.318057487,0.318057,169.780628
3000,0.327986099,0.327986,164.641124
4000,0.696771825,0.696772,183.704328
4000,0.688044364,0.688044,186.034516
4000,0.682363996,0.682364,187.583168
4000,0.686685227,0.686685,186.402729
4000,0.673476044,0.673476,190.058728
4000,0.692399512,0.692400,184.864371
4000,0.712856102,0.712856,179.559380
4000,0.681383768,0.681384,187.853022
4000,0.706523360,0.706523,181.168815
4000,0.664411036,0.664411,192.651827
5000,1.184548055,1.184548,211.050956
5000,1.176318636,1.176319,212.527450
5000,1.184838198,1.184838,210.999274
5000,1.158979589,1.158980,215.706991
5000,1.168952364,1.168952,213.866713
5000,1.163908921,1.163909,214.793439
5000,1.198373745,1.198374,208.616052
5000,1.185315827,1.185316,210.914251
5000,1.141849884,1.141850,218.942966
5000,1.184580291,1.184580,211.045213
6000,1.716696631,1.716697,251.646093
6000,1.744940160,1.744940,247.572960
6000,1.746261079,1.746261,247.385689
6000,1.725198175,1.725198,250.406015
6000,1.739682215,1.739682,248.321214
6000,1.705268614,1.705269,253.332523
6000,1.746971935,1.746972,247.285026
6000,1.744195153,1.744195,247.678707
6000,1.724902046,1.724902,250.449004
6000,1.732829959,1.732830,249.303169
7000,2.309625768,2.309626,297.017815
7000,2.346361491,2.346361,292.367567
7000,2.357923125,2.357923,290.933997
7000,2.304126550,2.304127,297.726703
7000,2.284154641,2.284155,300.329928
7000,2.350886013,2.350886,291.804875
7000,2.303983721,2.303984,297.745159
7000,2.324281691,2.324282,295.144949
7000,2.323369220,2.323369,295.260863
7000,2.324775326,2.324775,295.082278
8000,2.976526312,2.976526,344.025180
8000,2.936040404,2.936040,348.769042
8000,2.965724451,2.965724,345.278200
8000,2.965530780,2.965531,345.300749
8000,2.979000618,2.979001,343.739439
8000,2.954448937,2.954449,346.595938
8000,2.954162290,2.954162,346.629569
8000,2.955215233,2.955215,346.506064
8000,2.952090897,2.952091,346.872788
8000,2.960958498,2.960958,345.833959
9000,3.712066242,3.712066,392.773163
9000,3.606175827,3.606176,404.306409
9000,3.613094785,3.613095,403.532176
9000,3.632131736,3.632132,401.417158
9000,3.617443554,3.617444,403.047063
9000,3.617594269,3.617594,403.030271
9000,3.607733508,3.607734,404.131845
9000,3.683615689,3.683616,395.806762
9000,3.647318535,3.647319,399.745727
9000,3.599019406,3.599019,405.110347
10000,4.356727375,4.356727,459.060168
10000,4.332579135,4.332579,461.618804
10000,4.340247063,4.340247,460.803261
10000,4.383076657,4.383077,456.300484
10000,4.252680618,4.252681,470.291607
10000,4.393952765,4.393953,455.171029
10000,4.330998824,4.330999,461.787242
10000,4.308839462,4.308839,464.162106
10000,4.334779028,4.334779,461.384534
10000,4.283172400,4.283172,466.943614
11000,4.877209053,4.877209,545.803957
11000,5.23002644,5.023003,529.961895
11000,4.893854089,4.893854,543.947562
11000,5.14764661,5.014765,530.832488
11000,4.912301377,4.912301,541.904862
11000,4.900578681,4.900579,543.201155
11000,4.936389787,4.936390,539.260495
11000,4.991035571,4.991036,533.356247
11000,5.86181789,5.086182,523.378855
11000,4.905830043,4.905830,542.619695
12000,5.664315163,5.664315,610.135542
12000,5.751719750,5.751720,600.863768
12000,5.715434166,5.715434,604.678472
12000,5.804168708,5.804169,595.434105
12000,5.680273386,5.680273,608.421420
12000,5.563430430,5.563430,621.199464
12000,5.613655848,5.613656,615.641588
12000,5.793661969,5.793662,596.513918
12000,5.618836036,5.618836,615.074008
12000,5.612387908,5.612388,615.780672
13000,6.454517048,6.454517,680.763559
13000,6.225438820,6.225439,705.813699
13000,6.468217275,6.468217,679.321645
13000,6.589051487,6.589051,666.863813
13000,6.489414020,6.489414,677.102738
13000,6.547989174,6.547989,671.045703
13000,6.471212693,6.471213,679.007198
13000,5.613936177,5.613936,782.695040
13000,5.526023192,5.526023,795.146862
13000,5.639729515,5.639730,779.115379
14000,7.370016615,7.370017,744.638755
14000,7.350956070,7.350956,746.569555
14000,7.588850319,7.588850,723.166194
14000,7.297168917,7.297169,752.072490
14000,7.526105807,7.526106,729.195170
14000,7.417910510,7.417911,739.830980
14000,7.402181510,7.402182,741.403057
14000,7.399364508,7.399365,741.685316
14000,7.310468186,7.310468,750.704313
14000,7.413930980,7.413931,740.228094
15000,8.879208204,8.879208,760.202920
15000,8.820295393,8.820295,765.280492
15000,8.919649565,8.919650,756.756188
15000,8.816797343,8.816797,765.584116
15000,8.875925545,8.875926,760.484072
15000,8.856769795,8.856770,762.128875
15000,9.13910030,9.013910,748.842620
15000,8.831510467,8.831510,764.308668
15000,8.873190304,8.873190,760.718498
15000,8.803929362,8.803929,766.703107
16000,9.9439267,9.009439,909.268575
16000,8.774105284,8.774105,933.656451
16000,9.289515329,9.289515,881.854404
16000,8.738284860,8.738285,937.483743
16000,8.940779112,8.940779,916.251246
16000,8.958382139,8.958382,914.450832
16000,8.871678130,8.871678,923.387873
16000,9.37900456,9.037900,906.405203
16000,8.794167236,8.794167,931.526520
