Size,Total time,Compute time,Gflops
2000,0.55908100,0.055908,286.183934
2000,0.55123449,0.055123,290.257600
2000,0.55458327,0.055458,288.504916
2000,0.56128614,0.056129,285.059595
2000,0.55069456,0.055069,290.542184
2000,0.54260340,0.054260,294.874673
2000,0.54960573,0.054961,291.117780
2000,0.55261525,0.055262,289.532365
2000,0.53966187,0.053966,296.481943
2000,0.55495344,0.055495,288.312475
3000,0.96397623,0.096398,560.179788
3000,0.93210858,0.093211,579.331648
3000,0.93620667,0.093621,576.795720
3000,0.93632241,0.093632,576.724421
3000,0.92895739,0.092896,581.296845
3000,0.93655435,0.093655,576.581594
3000,0.92096742,0.092097,586.339960
3000,0.92644719,0.092645,582.871863
3000,0.91312331,0.091312,591.376865
3000,0.92765687,0.092766,582.111789
4000,0.140220189,0.140220,912.850003
4000,0.144280941,0.144281,887.158062
4000,0.142863555,0.142864,895.959785
4000,0.142396899,0.142397,898.895979
4000,0.146696681,0.146697,872.548712
4000,0.144758057,0.144758,884.234029
4000,0.141876103,0.141876,902.195629
4000,0.139542558,0.139543,917.282884
4000,0.141283131,0.141283,905.982187
4000,0.138363888,0.138364,925.096872
5000,0.215837930,0.215838,1158.276490
5000,0.227280040,0.227280,1099.964608
5000,0.225114510,0.225115,1110.545917
5000,0.221353942,0.221354,1129.412911
5000,0.222054914,0.222055,1125.847636
5000,0.217233095,0.217233,1150.837537
5000,0.218180872,0.218181,1145.838302
5000,0.220675559,0.220676,1132.884861
5000,0.219287366,0.219287,1140.056559
5000,0.219029942,0.219030,1141.396458
6000,0.292573245,0.292573,1476.553333
6000,0.291532024,0.291532,1481.826916
6000,0.300614569,0.300615,1437.056100
6000,0.301198376,0.301198,1434.270681
6000,0.295184361,0.295184,1463.492167
6000,0.295083311,0.295083,1463.993333
6000,0.297285991,0.297286,1453.146173
6000,0.303071819,0.303072,1425.404716
6000,0.296672785,0.296673,1456.149744
6000,0.304690112,0.304690,1417.833999
7000,0.488333139,0.488333,1404.778716
7000,0.467758710,0.467759,1466.568094
7000,0.452748583,0.452749,1515.189723
7000,0.465543330,0.465543,1473.547049
7000,0.461766971,0.461767,1485.597808
7000,0.457576203,0.457576,1499.203839
7000,0.449815857,0.449816,1525.068513
7000,0.455110763,0.455111,1507.325372
7000,0.448697479,0.448697,1528.869744
7000,0.464801648,0.464802,1475.898381
8000,0.705814735,0.705815,1450.805642
8000,0.705476070,0.705476,1451.502104
8000,0.729920857,0.729921,1402.891821
8000,0.709222089,0.709222,1443.835458
8000,0.722867831,0.722868,1416.579845
8000,0.710702874,0.710703,1440.827155
8000,0.725738359,0.725738,1410.976817
8000,0.724211473,0.724211,1413.951640
8000,0.712772908,0.712773,1436.642707
8000,0.717117664,0.717118,1427.938610
9000,1.198260786,1.198261,1216.763510
9000,1.222003115,1.222003,1193.122982
9000,1.186053883,1.186054,1229.286478
9000,1.173737568,1.173738,1242.185681
9000,1.195052309,1.195052,1220.030277
9000,1.176417361,1.176417,1239.356072
9000,1.185451776,1.185452,1229.910849
9000,1.176613790,1.176614,1239.149169
9000,1.160488072,1.160488,1256.367933
9000,1.162246404,1.162246,1254.467207
10000,1.786313354,1.786313,1119.624390
10000,1.789016849,1.789017,1117.932456
10000,1.767638089,1.767638,1131.453329
10000,1.764560232,1.764560,1133.426881
10000,1.777269736,1.777270,1125.321587
10000,1.792553371,1.792553,1115.726891
10000,1.779281997,1.779282,1124.048916
10000,1.749776289,1.749776,1143.003259
10000,1.736038630,1.736039,1152.048097
10000,1.747418240,1.747418,1144.545681
11000,2.454354156,2.454354,1084.603049
11000,2.293824784,2.293825,1160.507123
11000,2.492037416,2.492037,1068.202260
11000,2.316781246,2.316781,1149.007920
11000,2.420443217,2.420443,1099.798575
11000,2.401834047,2.401834,1108.319704
11000,2.405718557,2.405719,1106.530102
11000,2.422025751,2.422026,1099.079974
11000,2.320190419,2.320190,1147.319624
11000,2.394128003,2.394128,1111.887082
12000,2.971940184,2.971940,1162.876702
12000,3.133147341,3.133147,1103.044199
12000,3.72373705,3.072374,1124.863162
12000,2.126510997,2.126511,1625.197333
12000,2.978267270,2.978267,1160.406265
12000,2.951423536,2.951424,1170.960371
12000,2.100295828,2.100296,1645.482486
12000,2.671808767,2.671809,1293.505749
12000,2.628361776,2.628362,1314.887483
12000,2.962050495,2.962050,1166.759313
13000,3.839550101,3.839550,1144.404913
13000,3.825264317,3.825264,1148.678793
13000,3.801570413,3.801570,1155.838120
13000,3.783801153,3.783801,1161.266098
13000,3.813385698,3.813386,1152.256904
13000,3.843330662,3.843331,1143.279199
13000,3.785276495,3.785276,1160.813485
13000,3.927074211,3.927074,1118.899151
13000,3.827802503,3.827803,1147.917113
13000,3.835720869,3.835721,1145.547382
14000,4.372135564,4.372136,1255.221829
14000,4.298838133,4.298838,1276.624016
14000,4.328453830,4.328454,1267.889231
14000,4.311282594,4.311283,1272.939057
14000,4.371067996,4.371068,1255.528398
14000,4.371098178,4.371098,1255.519729
14000,4.335681662,4.335682,1265.775587
14000,4.439567775,4.439568,1236.156373
14000,4.365458858,4.365459,1257.141615
14000,4.324864446,4.324864,1268.941505
15000,5.144282414,5.144282,1312.136360
15000,5.48776646,5.048777,1336.957539
15000,5.110172133,5.110172,1320.894840
15000,5.117878856,5.117879,1318.905779
15000,5.85170602,5.085171,1327.389094
15000,5.322411694,5.322412,1268.222075
15000,5.107875767,5.107876,1321.488679
15000,5.88983653,5.088984,1326.394514
15000,5.372585196,5.372585,1256.378401
15000,5.271676013,5.271676,1280.427701
16000,6.784740781,6.784741,1207.415326
16000,6.671970509,6.671971,1227.823173
16000,6.383674480,6.383674,1283.273454
16000,6.31802585,6.031803,1358.134635
16000,6.818002206,6.818002,1201.524985
16000,6.64242168,6.064242,1350.869535
16000,6.167464814,6.167465,1328.260517
16000,6.611310932,6.611311,1239.088599
16000,6.582328803,6.582329,1244.544332
16000,5.992453570,5.992454,1367.052728
17000,8.47756483,8.047756,1220.961397
17000,8.45480619,8.045481,1221.306776
17000,7.723284535,7.723285,1272.256636
17000,7.777188677,7.777189,1263.438552
17000,7.976093533,7.976094,1231.931391
17000,7.410854152,7.410854,1325.893048
17000,8.73571303,8.073571,1217.057437
17000,7.970152521,7.970153,1232.849682
17000,8.19162084,8.019162,1225.315051
17000,7.311231601,7.311232,1343.959614
18000,5.574698030,5.574698,2092.310639
18000,7.463120195,7.463120,1562.885187
18000,6.685460049,6.685460,1744.681729
18000,5.482707730,5.482708,2127.415973
18000,7.740700474,7.740700,1506.840374
18000,7.338467669,7.338468,1589.432634
18000,7.718384673,7.718385,1511.197031
18000,7.592986786,7.592987,1536.154392
18000,7.278426866,7.278427,1602.544096
18000,7.420732011,7.420732,1571.812590
19000,10.247598863,10.247599,1338.655053
19000,9.305153035,9.305153,1474.236904
19000,9.257476377,9.257476,1481.829328
19000,10.774742959,10.774743,1273.162622
19000,8.855443549,8.855444,1549.103659
19000,8.746054316,8.746054,1568.478711
19000,7.983010351,7.983010,1718.399375
19000,8.432715371,8.432715,1626.759519
19000,7.259482579,7.259483,1889.666357
19000,8.984941703,8.984942,1526.776740
20000,9.36697786,9.036698,1770.558270
20000,9.330218600,9.330219,1714.857999
20000,8.234633246,8.234633,1943.013067
20000,9.804594201,9.804594,1631.888039
20000,8.108274381,8.108274,1973.292867
20000,9.680520724,9.680521,1652.803651
20000,7.348321444,7.348321,2177.368005
20000,7.612567559,7.612568,2101.787587
20000,7.238586465,7.238586,2210.376304
20000,10.47947585,10.047948,1592.364994
