Size,Total time,Compute time,Gflops
2000,0.47849682,0.047850,334.380488
2000,0.47658484,0.047658,335.721967
2000,0.48520400,0.048520,329.758205
2000,0.47804036,0.047804,334.699773
2000,0.48059905,0.048060,332.917845
2000,0.48058443,0.048058,332.927973
2000,0.48497836,0.048498,329.911627
2000,0.48203666,0.048204,331.924962
2000,0.47834643,0.047835,334.485615
2000,0.48126912,0.048127,332.454324
3000,0.145165935,0.145166,371.988098
3000,0.146755946,0.146756,367.957834
3000,0.145253730,0.145254,371.763259
3000,0.149914698,0.149915,360.204841
3000,0.145547847,0.145548,371.012015
3000,0.146233151,0.146233,369.273312
3000,0.151546612,0.151547,356.326013
3000,0.149745365,0.149745,360.612163
3000,0.147528651,0.147529,366.030596
3000,0.145536206,0.145536,371.041691
4000,0.309117098,0.309117,414.082562
4000,0.318125125,0.318125,402.357406
4000,0.308386979,0.308387,415.062920
4000,0.310674938,0.310675,412.006198
4000,0.299108325,0.299108,427.938607
4000,0.315148654,0.315149,406.157534
4000,0.309347721,0.309348,413.773858
4000,0.313870236,0.313870,407.811845
4000,0.309137347,0.309137,414.055439
4000,0.301522271,0.301522,424.512589
5000,0.562928113,0.562928,444.106440
5000,0.550056286,0.550056,454.498942
5000,0.554633503,0.554634,450.748104
5000,0.549550831,0.549551,454.916972
5000,0.533457852,0.533458,468.640585
5000,0.578200171,0.578200,432.376212
5000,0.571097485,0.571097,437.753635
5000,0.563259209,0.563259,443.845384
5000,0.578795243,0.578795,431.931677
5000,0.562010811,0.562011,444.831301
6000,0.904031517,0.904032,477.859446
6000,0.894628158,0.894628,482.882185
6000,0.912678627,0.912679,473.332000
6000,0.871110187,0.871110,495.918893
6000,0.896704100,0.896704,481.764274
6000,0.913681116,0.913681,472.812661
6000,0.924416281,0.924416,467.321929
6000,0.881092852,0.881093,490.300198
6000,0.865599968,0.865600,499.075804
6000,0.895139674,0.895140,482.606249
7000,1.270036022,1.270036,540.142160
7000,1.312296642,1.312297,522.747661
7000,1.295935201,1.295935,529.347455
7000,1.290318320,1.290318,531.651756
7000,1.263148631,1.263149,543.087316
7000,1.289796943,1.289797,531.866666
7000,1.299401277,1.299401,527.935452
7000,1.288139648,1.288140,532.550955
7000,1.294833237,1.294833,529.797954
7000,1.300271810,1.300272,527.581998
8000,1.710074758,1.710075,598.804231
8000,1.720405878,1.720406,595.208383
8000,1.680295389,1.680295,609.416658
8000,1.712202788,1.712203,598.060000
8000,1.721461476,1.721461,594.843402
8000,1.720739993,1.720740,595.092811
8000,1.718768484,1.718768,595.775411
8000,1.697359205,1.697359,603.290097
8000,1.703386215,1.703386,601.155505
8000,1.715749891,1.715750,596.823584
9000,2.219171740,2.219172,657.001878
9000,2.193207445,2.193207,664.779797
9000,2.215655872,2.215656,658.044428
9000,2.195071706,2.195072,664.215204
9000,2.214021479,2.214021,658.530197
9000,2.208535466,2.208535,660.165989
9000,2.262454157,2.262454,644.432947
9000,2.234839313,2.234839,652.395898
9000,2.244983257,2.244983,649.448051
9000,2.232569351,2.232569,653.059220
10000,2.611631758,2.611632,765.804748
10000,2.601763717,2.601764,768.709313
10000,2.614594829,2.614595,764.936876
10000,2.600488035,2.600488,769.086407
10000,2.643389062,2.643389,756.604477
10000,2.628507598,2.628508,760.888042
10000,2.606172148,2.606172,767.409015
10000,2.571641657,2.571642,777.713331
10000,2.587039430,2.587039,773.084467
10000,2.623674133,2.623674,762.289789
11000,3.328924679,3.328925,799.657624
11000,2.258851764,2.258852,1178.474853
11000,3.169122149,3.169122,839.980245
11000,3.277636959,3.277637,812.170485
11000,3.262423643,3.262424,815.957794
11000,3.256741152,3.256741,817.381510
11000,3.293491194,3.293491,808.260852
11000,2.705088565,2.705089,984.071292
11000,3.270757414,3.270757,813.878764
11000,3.231949252,3.231949,823.651547
12000,2.639047962,2.639048,1309.563164
12000,3.527636155,3.527636,979.692873
12000,3.564008100,3.564008,969.694766
12000,2.491891273,2.491891,1386.898392
12000,2.921827017,2.921827,1182.821563
12000,2.724489278,2.724489,1268.494623
12000,3.129068153,3.129068,1104.482175
12000,2.996511330,2.996511,1153.341209
12000,2.489599824,2.489600,1388.174905
12000,3.565000489,3.565000,969.424832
13000,4.135346440,4.135346,1062.547011
13000,4.279109831,4.279110,1026.849082
13000,4.166858339,4.166858,1054.511491
13000,4.171455312,4.171455,1053.349412
