Size,Total time,Compute time,Gflops
1,144.938196083,144.938196,46.571575
1,144.726482937,144.726482,46.580325
1,144.832654387,144.832654,46.579537
1,144.817978264,144.817978,46.590235
1,145.19331609,145.019332,46.545519
2,76.863660959,76.863661,87.817831
2,76.336929144,76.336929,88.423782
2,75.946186164,75.946186,88.878722
2,75.578294321,75.578294,88.629238
2,76.093847498,76.093847,88.126380
4,44.819468026,44.819468,150.604197
4,44.220374130,44.220374,152.644570
4,44.192708160,44.192708,152.740130
4,44.324135325,44.324135,152.287235
4,44.327748169,44.327748,152.274823
6,24.707222918,24.707223,273.199462
6,24.871969661,24.871970,271.389845
6,24.664869354,24.664869,273.668589
6,25.139674824,25.139675,268.499893
6,24.614903260,24.614903,274.224112
8,19.167413131,19.167413,352.160198
8,19.129590703,19.129591,352.856478
8,18.994987901,18.994988,355.356899
8,19.216151043,19.216151,351.267014
8,19.181645984,19.181646,351.898894
12,13.12833658,13.012834,518.718688
12,12.977291543,12.977292,520.139351
12,12.999322022,12.999322,519.257850
12,12.955229018,12.955229,521.025139
12,13.151102209,13.151102,513.264964
16,12.112802944,12.112803,557.261604
16,11.888255074,11.888255,567.787279
16,12.41249615,12.041250,560.573048
16,12.37862159,12.037862,560.730793
16,12.116105023,12.116105,557.109730
20,12.126686932,12.126687,556.623589
20,11.656568190,11.656568,579.072664
20,11.805666012,11.805666,571.759356
20,12.246609395,12.246609,551.172964
20,11.960288808,11.960289,564.367643
24,11.740267413,11.740267,574.944315
24,11.646277632,11.646278,579.584328
24,11.491506043,11.491506,587.390371
24,9.922088698,9.922089,680.300308
24,11.794280247,11.794280,572.311312
28,11.747279284,11.747279,574.601134
28,11.931674901,11.931675,565.721079
28,12.143810231,12.143810,555.838725
28,11.751135971,11.751136,574.412552
28,11.730005883,11.730006,575.447282
32,11.988860453,11.988860,563.022651
32,11.802533417,11.802533,571.911111
32,11.455862762,11.455863,589.217952
32,11.930497002,11.930497,565.776933
32,11.583115310,11.583115,582.744781
36,11.533871735,11.533872,585.232796
36,11.873431961,11.873432,568.496120
36,11.642962853,11.642963,579.749337
36,12.379663289,12.379663,545.249078
36,11.784627883,11.784628,572.780071
40,12.137759419,12.137759,556.115817
40,11.969112134,11.969112,563.951605
40,11.566912273,11.566912,583.561096
40,11.999606410,11.999606,562.518450
40,11.235018224,11.235018,600.800094
48,11.530052908,11.530053,585.426628
48,11.793690894,11.793691,572.339911
48,11.522988909,11.522989,585.785516
48,10.978175833,10.978176,614.856248
48,10.996325951,10.996326,613.841389
56,10.634319453,10.634319,634.737374
56,11.622305301,11.622305,580.779787
56,10.68995173,10.068995,670.374738
56,11.430244289,11.430244,590.538560
56,11.720141290,11.720141,575.931623
64,10.371526131,10.371526,650.820324
64,10.810826144,10.810826,624.374114
64,10.493138716,10.493139,643.277496
64,9.889212579,9.889213,682.561928
64,9.989255257,9.989255,675.726050
72,9.444078560,9.444079,714.733572
72,11.388172538,11.388173,592.720208
72,8.783289435,8.783289,768.504790
72,11.485614465,11.485614,587.691675
72,11.463526855,11.463527,588.824023
80,10.749493031,10.749493,627.936590
80,11.194052844,11.194053,602.998761
80,11.125928420,11.125928,606.690943
80,10.501801374,10.501801,642.746874
80,9.656084218,9.656084,699.041128
88,10.840062121,10.840062,622.690158
88,10.33013845,10.033014,672.778898
88,11.173345636,11.173346,604.116280
88,11.333940123,11.333940,595.556349
88,10.431797906,10.431798,647.060081
96,8.785948834,8.785949,768.272173
96,10.929520354,10.929520,617.593433
96,9.661157332,9.661157,698.674058
96,11.13448679,11.013449,612.887044
96,8.474250412,8.474250,796.530628
104,8.528752453,8.528752,791.440488
104,7.664243354,7.664243,880.713162
104,11.296189970,11.296190,597.546608
104,10.777515063,10.777515,626.303926
104,10.195684301,10.195684,662.044822
112,11.534301964,11.534302,585.210966
112,11.95259868,11.095260,608.367905
112,11.192154456,11.192154,603.101041
112,10.260856361,10.260856,657.839830
112,11.2779318,11.002779,613.481358
120,11.304633797,11.304634,597.100280
120,11.794584185,11.794584,572.296564
120,11.281260661,11.281261,598.337385
120,9.560784964,9.560785,706.008976
120,10.656537074,10.656537,633.414021
128,11.127076315,11.127076,606.628355
128,7.778484428,7.778484,867.778301
128,10.856122482,10.856122,621.768961
128,11.144940401,11.144940,605.655998
128,11.34507394,11.034507,611.717384
