Size,Total time,Compute time,Gflops
1,106.655724098,106.655724,63.287742
1,106.627230827,106.627230,63.465276
1,107.522642032,107.522642,62.874236
1,107.529372072,107.529372,62.773546
1,106.507252895,106.507253,63.375966
2,59.100984452,59.100984,114.211296
2,57.279223259,57.279223,117.843777
2,57.666830608,57.666831,117.051690
2,57.262111724,57.262112,117.878992
2,57.86611117,57.086611,118.241386
4,37.372320677,37.372321,180.614955
4,37.664558767,37.664559,179.213569
4,37.594960096,37.594960,179.545343
4,37.518604381,37.518604,179.910743
4,37.436501122,37.436501,180.305312
6,18.749559238,18.749559,360.008463
6,18.687517498,18.687517,361.203675
6,18.756026131,18.756026,359.884335
6,18.651830296,18.651830,361.894779
6,18.733203082,18.733203,360.322790
8,15.45643255,15.045643,448.634856
8,15.36613,15.000037,449.998902
8,15.59039162,15.059039,448.235769
8,14.893214274,14.893214,453.226542
8,14.925204280,14.925204,452.255116
12,10.2197907,10.002198,674.851674
12,10.62025847,10.062026,670.839064
12,10.208492878,10.208493,661.214156
12,10.152156859,10.152157,664.883344
12,10.641645238,10.641645,634.300416
16,8.523450429,8.523450,791.932804
16,8.599107161,8.599107,784.965215
16,8.608817944,8.608818,784.079771
16,8.542200687,8.542201,790.194500
16,8.592732508,8.592733,785.547554
20,8.767565338,8.767565,769.883056
20,6.818556859,6.818557,989.945547
20,6.838027214,6.838027,987.126811
20,6.775904752,6.775905,996.176931
20,8.385268920,8.385269,804.983127
24,6.40779040,6.040779,1117.405546
24,6.21486618,6.021487,1120.985635
24,6.80766250,6.080766,1110.057470
24,6.66031986,6.066032,1112.753776
24,6.49220808,6.049221,1115.846191
28,5.545229828,5.545230,1217.262442
28,5.649508546,5.649509,1194.794192
28,5.585170361,5.585170,1208.557584
28,6.110147449,6.110147,1104.719658
28,5.778997751,5.778998,1168.022604
32,5.570741444,5.570741,1211.687900
32,5.571785597,5.571786,1211.460829
32,5.504368278,5.504368,1226.298761
32,5.537213279,5.537213,1219.024744
32,5.595358096,5.595358,1206.357106
36,6.551092285,6.551092,1030.362527
36,5.29358420,5.029358,1342.119498
36,5.405653192,5.405653,1248.692759
36,5.356522003,5.356522,1260.146042
36,5.412091656,5.412092,1247.207259
40,5.304977736,5.304978,1272.389883
40,5.139911971,5.139912,1313.252063
40,5.90782551,5.090783,1325.925814
40,5.227917119,5.227917,1291.145182
40,4.932530898,4.932531,1368.465832
48,5.132450760,5.132451,1315.161180
48,4.671317800,4.671318,1444.988393
48,5.204824196,5.204824,1296.873774
48,5.267935987,5.267936,1281.336754
48,5.185662642,5.185663,1301.665856
56,5.262499393,5.262499,1282.660480
56,5.147147620,5.147148,1311.405947
56,5.288286572,5.288287,1276.405866
56,5.70503673,5.070504,1331.228697
56,5.272983886,5.272984,1280.110113
64,5.535377273,5.535377,1219.429077
64,5.169641313,5.169641,1305.699872
64,5.141602735,5.141603,1312.820213
64,5.129024098,5.129024,1316.039830
64,5.144616089,5.144616,1312.051256
72,5.58441445,5.058441,1334.403111
72,5.59260911,5.059261,1334.186973
72,5.53806382,5.053806,1335.626949
72,5.96207036,5.096207,1324.514478
72,5.201442882,5.201443,1297.716836
80,5.188140531,5.188141,1301.044172
80,4.859033229,4.859033,1389.165227
80,5.110099958,5.110100,1320.913496
80,4.914691475,4.914691,1373.433111
80,5.250117683,5.250118,1285.685466
88,5.20034849,5.020035,1344.612180
88,5.116071046,5.116071,1319.371826
88,4.791287464,4.791287,1408.807142
88,5.241453483,5.241453,1287.810723
88,5.293920100,5.293920,1275.047578
96,5.62272779,5.062273,1333.393180
96,5.74028762,5.074029,1330.303851
96,5.111586743,5.111587,1320.529288
96,5.114820217,5.114820,1319.694479
96,4.656249809,4.656250,1449.664489
104,5.335560317,5.335560,1265.096747
104,4.723425171,4.723425,1429.047726
104,4.742505251,4.742505,1423.298371
104,5.232001497,5.232001,1290.137246
104,4.725750912,4.725751,1428.344432
112,5.268636697,5.268637,1281.166341
112,5.634261831,5.634262,1198.027391
112,5.423942075,5.423942,1244.482317
112,5.413630607,5.413631,1246.852711
112,5.384648808,5.384649,1253.563647
120,5.168200892,5.168201,1306.063781
120,5.402591201,5.402591,1249.400473
120,5.306660684,5.306661,1271.986359
120,5.332690370,5.332690,1265.777597
120,5.587654368,5.587654,1208.020317
128,5.422380855,5.422381,1244.840630
128,5.885968796,5.885969,1146.795070
128,4.444113457,4.444113,1518.863113
128,5.418060034,5.418060,1245.833372
128,4.800913399,4.800913,1405.982454
