Size,Total time,Compute time,Gflops
1,142.978492628,142.978493,47.209898
1,142.540101879,142.540102,47.355095
1,142.489940493,142.489940,47.441815
1,142.990152546,142.990152,47.281453
1,142.198431021,142.198431,47.744160
2,74.171724407,74.171724,91.005030
2,73.899399513,73.899400,91.579573
2,74.229346532,73.229346,91.421607
2,74.087939951,73.087939,91.939815
2,73.935972112,73.935972,91.641826
4,41.11672358,41.011672,164.587290
4,41.101207883,41.101208,164.228750
4,40.978608991,40.978609,164.720086
4,40.927477412,40.927477,164.925874
4,41.354484453,41.354484,163.222927
6,24.550203856,24.550204,274.946800
6,24.325323458,24.325323,277.488602
6,24.364199501,24.364200,277.045835
6,24.470442678,24.470443,275.842987
6,24.493133612,24.493134,275.587440
8,18.447153159,18.447153,365.910119
8,18.406072716,18.406073,366.726792
8,18.467803311,18.467803,365.500969
8,18.438919178,18.438919,366.073517
8,18.507905248,18.507905,364.709021
12,16.937453451,16.937453,398.525080
12,12.724868049,12.724868,530.457367
12,15.166691051,15.166691,445.054230
12,12.497088860,12.497089,540.125791
12,12.852320034,12.852320,525.197006
16,9.642789582,9.642790,700.004904
16,9.502293237,9.502293,710.354841
16,9.605500537,9.605501,702.722359
16,9.638064705,9.638065,700.348068
16,9.684421410,9.684421,696.995692
20,11.69043881,11.069044,609.808767
20,9.248085841,9.248086,729.880768
20,13.621115825,13.621116,495.554115
20,13.379776435,13.379776,504.492734
20,8.761754358,8.761754,770.393659
24,8.763159815,8.763160,770.270101
24,8.992985658,8.992986,750.584984
24,8.14367300,8.014367,842.237415
24,8.624949752,8.624950,782.613255
24,8.896190965,8.896191,758.751698
28,9.961300463,9.961300,677.622367
28,9.120002818,9.120003,740.131350
28,10.356138444,10.356138,651.787347
28,10.830868703,10.830869,623.218708
28,9.14289504,9.014290,748.811096
32,8.627632735,8.627633,782.369881
32,9.112435902,9.112436,740.745951
32,8.559249177,8.559249,788.620574
32,8.626498202,8.626498,782.472777
32,8.556996828,8.556997,788.828153
36,9.779791844,9.779792,690.198739
36,8.327125618,8.327126,810.603840
36,13.479863803,13.479864,500.746899
36,8.644494021,8.644494,780.843851
36,9.177988842,9.177989,735.455241
40,8.633181838,8.633182,781.867002
40,8.883983090,8.883983,759.794332
40,8.612871438,8.612871,783.710758
40,7.841333104,7.841333,860.823014
40,8.968435098,8.968435,752.639666
48,7.832633213,7.832633,861.779151
48,9.797079379,9.797079,688.980842
48,9.176541645,9.176542,735.571227
48,9.328823452,9.328823,723.563913
48,9.202186739,9.202187,733.521302
56,9.826766198,9.826766,686.899420
56,9.875623486,9.875623,683.501149
56,10.947958298,10.947958,616.553317
56,10.64104878,10.064105,670.700483
56,9.961470951,9.961471,677.610770
64,9.991750091,9.991750,675.557329
64,10.22387237,10.022387,673.492237
64,10.39328872,10.039329,672.355701
64,10.59211891,10.059212,671.026724
64,10.65721414,10.065721,670.592769
72,10.821158334,10.821158,623.777953
72,10.93203814,10.093204,668.766838
72,10.280741068,10.280741,656.567455
72,10.357743181,10.357743,651.686365
72,10.850991704,10.850992,622.062958
80,11.534344199,11.534344,585.208824
80,11.56314998,11.056315,610.510826
80,11.15477991,11.015478,612.774135
80,11.536688949,11.536689,585.089884
80,11.102457509,11.102458,607.973504
88,11.832882771,11.832883,570.444255
88,11.874249748,11.874250,568.456967
88,11.579113315,11.579113,582.946191
88,11.520565369,11.520565,585.908745
88,11.758283136,11.758283,574.063400
96,12.773900564,12.773901,528.421211
96,12.524346100,12.524346,538.950293
96,12.498601568,12.498602,540.060419
96,8.827166578,8.827167,764.684788
96,12.566765304,12.566765,537.131063
104,14.6257302,14.006257,481.927460
104,14.637993126,14.637993,461.128786
104,15.222116161,15.222116,443.433747
104,13.89132315,13.089132,515.694993
104,13.640757096,13.640757,494.840569
112,14.964923957,14.964924,451.054748
112,13.734253960,13.734254,491.471908
112,14.605980747,14.605981,462.139456
112,9.156154828,9.156155,737.209028
112,9.348447313,9.348447,722.045038
120,16.556342183,16.556342,407.698749
120,15.819749435,15.819749,426.681853
120,16.830979760,16.830980,401.046172
120,16.357349374,16.357349,412.658545
120,15.792028159,15.792028,427.430849
128,15.221376840,15.221377,443.455285
128,15.563076856,15.563077,433.718863
128,15.402279262,15.402279,438.246826
128,15.592648628,15.592649,432.896307
128,15.339984280,15.339984,440.026527
