Size,Total time,Compute time,Gflops
1,71.244045700,71.244046,94.744760
1,71.319844342,71.319844,94.313778
1,71.131662642,71.131663,94.894450
1,72.84982642,72.849826,93.042484
1,72.69886250,72.069886,93.659091
2,40.336968979,40.336969,167.340288
2,41.94705742,41.094706,164.254735
2,39.810347554,39.810348,169.553908
2,40.433887297,40.433887,166.939180
2,40.288544243,40.288544,167.541422
4,18.612401457,18.612401,362.661423
4,18.308105539,18.308106,368.689157
4,18.608139170,18.608139,362.744493
4,18.354718572,18.354719,367.752846
4,18.296424044,18.296424,368.924550
6,12.183802668,12.183803,554.014226
6,21.827879922,21.827880,309.237545
6,12.260579145,12.260579,550.544956
6,12.95446489,12.095446,558.061251
6,12.285065052,12.285065,549.447640
8,9.202442340,9.202442,733.500928
8,9.159962127,9.159962,736.902610
8,9.232083005,9.232083,731.145939
8,9.203248968,9.203249,733.436640
8,9.211192226,9.211192,732.804162
12,6.636318341,6.636318,1017.130230
12,6.275510832,6.275511,1075.609648
12,6.566627503,6.566628,1027.924912
12,6.622122031,6.622122,1019.310724
12,6.551217509,6.551218,1030.342832
16,4.789861000,4.789861,1409.226698
16,4.736572600,4.736573,1425.081081
16,4.754344987,4.754345,1419.753934
16,4.763407733,4.763408,1417.052744
16,4.794458905,4.794459,1407.875244
20,5.12178911,5.012179,1346.719684
20,4.386034342,4.386034,1538.975638
20,5.287409769,5.287410,1276.617530
20,4.357010129,4.357010,1549.227521
20,4.595911391,4.595911,1468.696723
24,3.898422841,3.898423,1731.469437
24,3.855921054,3.855921,1750.554512
24,3.877344153,3.877344,1740.882350
24,3.905516048,3.905516,1728.324738
24,4.90823493,4.090823,1650.034525
28,4.284321855,4.284322,1575.511885
28,4.310170385,4.310170,1566.063380
28,4.436895169,4.436895,1521.334118
28,4.283882507,4.283883,1575.673467
28,4.162930971,4.162931,1621.453742
32,4.230324370,4.230324,1595.622323
32,4.352236078,4.352236,1550.926898
32,4.329775256,4.329775,1558.972372
32,4.433094168,4.433094,1522.638533
32,4.327280416,4.327280,1559.871178
36,4.818238255,4.818238,1400.926987
36,4.360418279,4.360418,1548.016628
36,5.60325746,5.060326,1333.906222
36,6.224352834,6.224353,1084.450091
36,7.218345003,7.218345,935.117398
40,4.846716233,4.846716,1392.695523
40,4.612534120,4.612534,1463.403809
40,5.178016254,5.178016,1303.588028
40,4.543101781,4.543102,1485.769046
40,4.738097789,4.738098,1424.622349
48,4.24100139,4.024100,1677.393645
48,4.199283568,4.199284,1607.417049
48,4.177341494,4.177341,1615.860233
48,4.206421532,4.206422,1604.689389
48,4.185665393,4.185665,1612.646823
56,4.342219029,4.342219,1554.504726
56,4.374199923,4.374200,1543.139344
56,4.489552952,4.489553,1503.490453
56,4.470824170,4.470824,1509.788742
56,3.993420376,3.993420,1690.280352
64,4.731803754,4.731804,1426.517318
64,4.813682115,4.813682,1402.252961
64,4.698329351,4.698329,1436.680891
64,3.832509148,3.832509,1761.248242
64,4.808368931,4.808369,1403.802432
72,5.23663519,5.023664,1343.640945
72,5.319531402,5.319531,1268.908761
72,5.79304876,5.079305,1328.922001
72,5.278868603,5.278869,1278.683087
72,4.836187152,4.836187,1395.727623
80,4.45067424,4.045067,1668.699009
80,5.313595347,5.313595,1270.326316
80,5.497465150,5.497465,1227.838616
80,5.470281588,5.470282,1233.940135
80,5.350804838,5.350805,1261.492468
88,5.576822436,5.576822,1210.366670
88,5.680864934,5.680865,1188.199346
88,5.752704945,5.752705,1173.361065
88,5.976856151,5.976856,1129.356275
88,5.561562327,5.561562,1213.687738
96,6.3762048,6.003762,1124.295058
96,6.134349056,6.134349,1100.361251
96,5.756723802,5.756724,1172.541924
96,6.115002501,6.115003,1103.842558
96,6.142897722,6.142898,1098.829951
104,5.841860422,5.841860,1155.453830
104,6.148638495,6.148638,1097.804011
104,5.482801798,5.482802,1231.122380
104,5.850317692,5.850318,1153.783496
104,5.972409531,5.972410,1130.197111
112,6.619325216,6.619325,1019.741406
112,6.639713426,6.639713,1016.610141
112,6.554578404,6.554578,1029.814518
112,6.562341137,6.562341,1028.596329
112,6.664265259,6.664265,1012.864845
120,5.454852552,5.454853,1237.430331
120,6.320183031,6.320183,1068.007045
120,5.931723230,5.931723,1137.949250
120,5.342075234,5.342075,1263.553901
120,6.785986061,6.785986,994.697003
128,7.333245744,7.333246,920.465539
128,4.496769665,4.496770,1501.077552
128,7.317389488,7.317389,922.460122
128,7.334210809,7.334211,920.344421
128,7.334816256,7.334816,920.268452
