Size,Total time,Compute time,Gflops
1000,0.24849835,0.024850,80.483432
1000,0.7094741,0.007095,281.898945
1000,0.6918012,0.006918,289.100395
1000,0.6685738,0.006686,299.144238
1000,0.6612361,0.006612,302.463825
1000,0.6840950,0.006841,292.357056
1000,0.6697527,0.006698,298.617684
1000,0.6077804,0.006078,329.066222
1000,0.6479103,0.006479,308.684705
1000,0.6408978,0.006409,312.062235
1500,0.9232393,0.009232,731.121390
1500,0.9301632,0.009302,725.679107
1500,0.9308652,0.009309,725.131845
1500,0.8982326,0.008982,751.475731
1500,0.10635490,0.010635,634.667514
2000,0.18486793,0.018487,865.482726
2000,0.16468191,0.016468,971.569980
2000,0.15709795,0.015710,1018.472870
2000,0.15610436,0.015610,1024.955357
2000,0.15609292,0.015609,1025.030475
2000,0.16115702,0.016116,992.820542
2000,0.15478408,0.015478,1033.698039
2000,0.15526746,0.015527,1030.479922
2000,0.15563052,0.015563,1028.075984
2000,0.15711872,0.015712,1018.338235
2500,0.26023211,0.026023,1200.851040
2500,0.25785702,0.025786,1211.911935
2500,0.26207899,0.026208,1192.388600
2500,0.25883761,0.025884,1207.320683
2500,0.26159504,0.026160,1194.594515
3000,0.40838722,0.040839,1322.274483
3000,0.39718889,0.039719,1359.554644
3000,0.40110841,0.040111,1346.269454
3000,0.40074538,0.040075,1347.489022
3000,0.39970809,0.039971,1350.985916
3000,0.39744655,0.039745,1358.673261
3000,0.40336151,0.040336,1338.749451
3000,0.40050460,0.040050,1348.299121
3000,0.40142774,0.040143,1345.198516
3000,0.40201240,0.040201,1343.242149
3500,0.61996268,0.061996,1383.147773
3500,0.61660372,0.061660,1390.682495
3500,0.61672354,0.061672,1390.412307
3500,0.61619579,0.061620,1391.603146
3500,0.61916945,0.061917,1384.919750
4000,0.86048336,0.086048,1487.536029
4000,0.90341319,0.090341,1416.848917
4000,0.86803516,0.086804,1474.594647
4000,0.88864516,0.088865,1440.394949
4000,0.86019772,0.086020,1488.029985
4000,0.85807789,0.085808,1491.706073
4000,0.85851516,0.085852,1490.946298
4000,0.85556814,0.085557,1496.081890
4000,0.86849099,0.086849,1473.820701
4000,0.86188301,0.086188,1485.120353
4500,0.121019371,0.121019,1505.957257
4500,0.120772071,0.120772,1509.040944
4500,0.120829356,0.120829,1508.325510
4500,0.120766868,0.120767,1509.105958
4500,0.120803455,0.120803,1508.648904
5000,0.167515691,0.167516,1492.397509
5000,0.167437890,0.167438,1493.090960
5000,0.167574983,0.167575,1491.869464
5000,0.167502837,0.167503,1492.512034
5000,0.166817157,0.166817,1498.646809
6000,0.277913054,0.277913,1554.442995
6000,0.277172121,0.277172,1558.598312
6000,0.277779057,0.277779,1555.192838
6000,0.277272931,0.277273,1558.031642
6000,0.278050535,0.278051,1553.674407
7000,0.431243110,0.431243,1590.750053
7000,0.431381689,0.431382,1590.239033
7000,0.431647591,0.431648,1589.259420
7000,0.430983648,0.430984,1591.707721
7000,0.431415098,0.431415,1590.115884
8000,0.632205567,0.632206,1619.726326
8000,0.632635075,0.632635,1618.626662
8000,0.632613111,0.632613,1618.682860
8000,0.632942337,0.632942,1617.840900
8000,0.633473364,0.633473,1616.484699
9000,0.902222927,0.902223,1616.008590
9000,0.902269215,0.902269,1615.925686
9000,0.902076504,0.902077,1616.270897
9000,0.901593603,0.901594,1617.136585
9000,0.901887732,0.901888,1616.609195
10000,1.240223491,1.240223,1612.612577
10000,1.245049034,1.245049,1606.362437
10000,1.244587612,1.244588,1606.957984
10000,1.243023745,1.243024,1608.979722
10000,1.244114706,1.244115,1607.568812
12000,2.143997436,2.143997,1611.942226
12000,2.141979029,2.141979,1613.461175
12000,2.142730157,2.142730,1612.895580
12000,2.144617640,2.144618,1611.476067
12000,2.146852005,2.146852,1609.798902
14000,3.350371465,3.350371,1638.027322
14000,3.348856432,3.348856,1638.768371
14000,3.349323411,3.349323,1638.539886
14000,3.348979907,3.348980,1638.707951
14000,3.348835775,3.348836,1638.778480
16000,5.18873699,5.018874,1632.238724
16000,5.19952205,5.019952,1631.888047
16000,5.21044629,5.021045,1631.532999
16000,5.20226057,5.020226,1631.799028
16000,5.20927793,5.020928,1631.570964
18000,7.158613782,7.158614,1629.365734
18000,7.160072723,7.160073,1629.033733
18000,7.146544091,7.146544,1632.117545
18000,7.147204224,7.147204,1631.966799
18000,7.159058568,7.159059,1629.264503
20000,9.858125636,9.858126,1623.026586
20000,9.857157029,9.857157,1623.186072
20000,9.857295720,9.857296,1623.163234
20000,9.860547884,9.860548,1622.627889
20000,9.857653101,9.857653,1623.104388
