Size,Total time,Compute time,Gflops
1000,0.8329973,0.008330,240.096817
1000,0.11463419,0.011463,174.468019
1000,0.8555526,0.008556,233.767041
1000,0.13100675,0.013101,152.663889
1000,0.13199500,0.013199,151.520891
1500,0.11581811,0.011582,582.810408
1500,0.13379713,0.013380,504.495126
1500,0.16592861,0.016593,406.801455
1500,0.11518248,0.011518,586.026625
1500,0.20191978,0.020192,334.291172
2000,0.23576072,0.023576,678.654188
2000,0.20222071,0.020222,791.214708
2000,0.18248163,0.018248,876.800585
2000,0.18104170,0.018104,883.774291
2000,0.20021344,0.020021,799.147150
2500,0.37097103,0.037097,842.383838
2500,0.29705285,0.029705,1052.001353
2500,0.28149231,0.028149,1110.154661
2500,0.27984905,0.027985,1116.673435
2500,0.28115346,0.028115,1111.492635
3000,0.41769169,0.041769,1292.819591
3000,0.44380390,0.044380,1216.753616
3000,0.44371847,0.044372,1216.987880
3000,0.42057254,0.042057,1283.963998
3000,0.45223987,0.045224,1194.056597
3500,0.63483032,0.063483,1350.754639
3500,0.64015575,0.064016,1339.517766
3500,0.64103229,0.064103,1337.686125
3500,0.64061774,0.064062,1338.551755
3500,0.65758952,0.065759,1304.004967
4000,0.87453702,0.087454,1463.631580
4000,0.90552999,0.090553,1413.536839
4000,0.87985532,0.087986,1454.784634
4000,0.88090535,0.088091,1453.050546
4000,0.90158028,0.090158,1419.729367
4500,0.122084164,0.122084,1492.822607
4500,0.123106775,0.123107,1480.422178
4500,0.122809450,0.122809,1484.006320
4500,0.122639285,0.122639,1486.065415
4500,0.122585641,0.122586,1486.715724
5000,0.168334726,0.168335,1485.136228
5000,0.169218608,0.169219,1477.378894
5000,0.168144050,0.168144,1486.820378
5000,0.169170740,0.169171,1477.796929
5000,0.168799766,0.168800,1481.044707
6000,0.279520289,0.279520,1545.504985
6000,0.279733403,0.279733,1544.327547
6000,0.279717935,0.279718,1544.412946
6000,0.279629310,0.279629,1544.902428
6000,0.279157187,0.279157,1547.515236
7000,0.432547875,0.432548,1585.951613
7000,0.433610529,0.433611,1582.064904
7000,0.432860210,0.432860,1584.807252
7000,0.433078756,0.433079,1584.007506
7000,0.433193462,0.433193,1583.588074
8000,0.636402543,0.636403,1609.044482
8000,0.635763447,0.635763,1610.661961
8000,0.635852687,0.635853,1610.435909
8000,0.638410723,0.638411,1603.983083
8000,0.635020032,0.635020,1612.547555
9000,0.905482428,0.905482,1610.191380
9000,0.903413142,0.903413,1613.879555
9000,0.903879632,0.903880,1613.046636
9000,0.903723692,0.903724,1613.324972
9000,0.904357502,0.904358,1612.194289
10000,1.250687602,1.250688,1599.120353
10000,1.245646484,1.245646,1605.591976
10000,1.244645698,1.244646,1606.882989
10000,1.246356742,1.246357,1604.677002
10000,1.247055911,1.247056,1603.777331
12000,2.146001785,2.146002,1610.436685
12000,2.148757205,2.148757,1608.371570
12000,2.147923684,2.147924,1608.995713
12000,2.145483651,2.145484,1610.825605
12000,2.147627594,2.147628,1609.217543
14000,3.362283071,3.362283,1632.224261
14000,3.355452918,3.355453,1635.546716
14000,3.402347643,3.402348,1613.003895
14000,3.368291850,3.368292,1629.312496
14000,3.353750539,3.353751,1636.376927
16000,5.42087296,5.042087,1624.723952
16000,5.38589994,5.038590,1625.851679
16000,5.37889375,5.037889,1626.077786
16000,5.39605155,5.039605,1625.524173
16000,5.38442970,5.038443,1625.899122
18000,7.163288099,7.163288,1628.302511
18000,7.162417019,7.162417,1628.500542
18000,7.164262105,7.164262,1628.081138
18000,7.167113337,7.167113,1627.433452
18000,7.165708244,7.165708,1627.752569
20000,9.893477060,9.893477,1617.227179
20000,9.890914941,9.890915,1617.646102
20000,9.899480675,9.899481,1616.246400
20000,9.888410393,9.888410,1618.055821
20000,9.892843550,9.892844,1617.330742
