Size,Total time,Compute time,Gflops
6000,37.623525400,37.623525,11.482178
6000,37.519581504,37.519582,11.513988
6000,37.145082649,37.145083,11.630072
6000,37.758720828,37.758721,11.441066
6000,37.432317755,37.432318,11.540830
6100,37.980061113,37.980061,11.952640
6100,38.19526421,38.019526,11.940233
6100,37.48436721,37.048437,12.253203
6100,38.187678728,38.187679,11.887656
6100,37.621638154,37.621638,12.066513
6140,37.480343829,37.480344,12.351837
6140,37.983091300,37.983091,12.188347
6140,37.692183400,37.692183,12.282416
6140,38.149870737,38.149871,12.135063
6140,37.533636675,37.533637,12.334299
6145,7.85252474,7.085252,65.499853
6145,6.595424532,6.595425,70.364386
6145,6.784169605,6.784170,68.406750
6145,8.181075420,8.181075,56.726405
6145,6.440587344,6.440587,72.056006
6200,7.365433413,7.365433,64.715268
6200,7.306355697,7.306356,65.238543
6200,7.921117985,7.921118,60.175344
6200,9.143171501,9.143172,52.132458
6200,7.314108994,7.314109,65.169387
6300,8.790734955,8.790735,56.888759
6300,9.112934103,9.112934,54.877386
6300,8.47375983,8.047376,62.143735
6300,8.924208908,8.924209,56.037908
6300,9.216149059,9.216149,54.262794
6400,10.948742516,10.948743,47.885682
6400,10.682079807,10.682080,49.081079
6400,9.470723968,9.470724,55.358809
6400,10.443380251,10.443380,50.202902
6400,8.1438543,8.001439,65.524218
6500,10.941982237,10.941982,50.196572
6500,12.610738811,12.610739,43.554149
6500,8.911384886,8.911385,61.634640
6500,10.812663757,10.812664,50.796919
6500,10.503207280,10.503207,52.293550
6500,12.908818147,12.908818,42.548434
6500,12.22716117,12.022716,45.684352
6500,10.135166959,10.135167,54.192497
6500,10.647859599,10.647860,51.583137
6500,11.634487542,11.634488,47.208783
6600,11.552060501,11.552061,49.773978
6600,12.27669726,12.027670,47.805769
6600,10.751174104,10.751174,53.481787
6600,13.850168908,13.850169,41.515162
6600,11.381663021,11.381663,50.519155
6700,12.220453916,12.220454,49.222885
6700,11.226532234,11.226532,53.580748
6700,10.831676572,10.831677,55.533970
6700,13.417815416,13.417815,44.830398
6700,11.374268744,11.374269,52.884806
6800,13.25973944,13.025974,48.277695
6800,11.464163517,11.464164,54.854765
6800,11.843791308,11.843791,53.096511
6800,11.522583881,11.522584,54.576648
6800,13.514231191,13.514231,46.533465
6900,12.734795389,12.734795,51.592348
6900,13.912118316,13.912118,47.226309
6900,12.285040147,12.285040,53.481144
6900,11.580950934,11.580951,56.732647
6900,11.524609175,11.524609,57.010003
7000,11.979888290,11.979888,57.262637
7000,11.401649465,11.401649,60.166733
7000,11.512286231,11.512286,59.588511
7000,10.432715806,10.432716,65.754691
7000,13.741392349,13.741392,49.922161
7000,12.131435817,12.131436,56.547305
7000,11.247537690,11.247538,60.991127
7000,11.33103245,11.033103,62.176523
7000,11.910936733,11.910937,57.594127
7000,12.163623436,12.163623,56.397668
7100,11.316789644,11.316790,63.253098
7100,9.911686987,9.911687,72.219997
7100,11.44153755,11.044154,64.814563
7100,13.892975385,13.892975,51.524024
7100,10.635776847,10.635777,67.303217
7200,7.789666783,7.789667,95.831570
7200,8.666094157,8.666094,86.139844
7200,12.50832864,12.050833,61.945594
7200,9.104974380,9.104974,81.987710
7200,8.835847204,8.835847,84.484938
7300,7.912952745,7.912953,98.324105
7300,8.354111930,8.354112,93.131862
7300,8.704301372,8.704301,89.385003
7300,8.687474773,8.687475,89.558131
7300,7.945135382,7.945135,97.925833
7400,7.10848313,7.010848,115.599135
7400,7.913594807,7.913595,102.412117
7400,6.938218042,6.938218,116.809243
7400,7.70106856,7.070107,114.630234
7400,7.372243436,7.372243,109.932344
7500,6.636104781,6.636105,127.145370
7500,6.722409558,6.722410,125.513031
7500,7.397882979,7.397883,114.052899
7500,6.585410628,6.585411,128.124129
7500,7.795892365,7.795892,108.230073
