Size,Total time,Compute time,Gflops
1000,0.15494726,0.015495,129.076177
1000,0.11696887,0.011697,170.985665
1000,0.9299963,0.009300,215.054619
1000,0.10735423,0.010735,186.299133
1000,0.8911807,0.008912,224.421377
1500,0.13811479,0.013811,488.723909
1500,0.11605542,0.011606,581.618678
1500,0.12166744,0.012167,554.790994
1500,0.16744276,0.016744,403.122834
1500,0.12152733,0.012153,555.430618
2000,0.25677138,0.025677,623.122406
2000,0.20327257,0.020327,787.120466
2000,0.18704252,0.018704,855.420468
2000,0.18213552,0.018214,878.466759
2000,0.18116962,0.018117,883.150277
2000,0.19639912,0.019640,814.667601
2000,0.17049683,0.017050,938.433870
2000,0.17412857,0.017413,918.861276
2000,0.17635357,0.017635,907.268279
2000,0.18805571,0.018806,850.811709
2500,0.28485618,0.028486,1097.044832
2500,0.29416305,0.029416,1062.336007
2500,0.27760994,0.027761,1125.680154
2500,0.27316397,0.027316,1144.001531
2500,0.29027545,0.029028,1076.563657
3000,0.42360339,0.042360,1274.777334
3000,0.42392349,0.042392,1273.814763
3000,0.42530823,0.042531,1269.667413
3000,0.42285323,0.042285,1277.038844
3000,0.44929227,0.044929,1201.890253
3000,0.41600003,0.041600,1298.076829
3000,0.42377452,0.042377,1274.262549
3000,0.44297262,0.044297,1219.036969
3000,0.42122787,0.042123,1281.966457
3000,0.45313614,0.045314,1191.694840
3500,0.63660309,0.063660,1346.993148
3500,0.63806469,0.063806,1343.907622
3500,0.63571272,0.063571,1348.879727
3500,0.64129438,0.064129,1337.139427
3500,0.64238423,0.064238,1334.870876
4000,0.94576948,0.094577,1353.395333
4000,0.87464086,0.087464,1463.457813
4000,0.87846506,0.087847,1457.086979
4000,0.87546294,0.087546,1462.083592
4000,0.87835759,0.087836,1457.265258
4000,0.87838491,0.087838,1457.219933
4000,0.88085360,0.088085,1453.135913
4000,0.86705829,0.086706,1476.255997
4000,0.88337313,0.088337,1448.991323
4000,0.88234357,0.088234,1450.682074
4500,0.129793092,0.129793,1404.157935
4500,0.123926329,0.123926,1470.631798
4500,0.122539788,0.122540,1487.272036
4500,0.130133996,0.130134,1400.479549
4500,0.123163785,0.123164,1479.736921
5000,0.169572964,0.169573,1474.291621
5000,0.169904295,0.169904,1471.416600
5000,0.176776068,0.176776,1414.218581
5000,0.168986356,0.168986,1479.409379
5000,0.168189510,0.168190,1486.418505
6000,0.282817096,0.282817,1527.488989
6000,0.286481978,0.286482,1507.948259
6000,0.279591049,0.279591,1545.113842
6000,0.280084453,0.280084,1542.391930
6000,0.279814730,0.279815,1543.878694
7000,0.433716979,0.433717,1581.676608
7000,0.432772526,0.432773,1585.128350
7000,0.432281427,0.432281,1586.929156
7000,0.436602863,0.436603,1571.221946
7000,0.434436482,0.434436,1579.057074
8000,0.636170465,0.636170,1609.631469
8000,0.634214948,0.634215,1614.594552
8000,0.634763361,0.634763,1613.199600
8000,0.635669108,0.635669,1610.900997
8000,0.634533392,0.634533,1613.784259
9000,0.905556785,0.905557,1610.059164
9000,0.903192793,0.903193,1614.273288
9000,0.904708702,0.904709,1611.568449
9000,0.902890580,0.902891,1614.813613
9000,0.903696480,0.903696,1613.373552
10000,1.246507787,1.246508,1604.482556
10000,1.247079861,1.247080,1603.746530
10000,1.246143541,1.246144,1604.951544
10000,1.247068987,1.247069,1603.760514
10000,1.247102702,1.247103,1603.717157
12000,2.149004060,2.149004,1608.186817
12000,2.145941756,2.145942,1610.481734
12000,2.146073471,2.146073,1610.382891
12000,2.147584095,2.147584,1609.250137
12000,2.148441288,2.148441,1608.608073
14000,3.366367272,3.366367,1630.243986
14000,3.361386870,3.361387,1632.659439
14000,3.367254633,3.367255,1629.814373
14000,3.399844211,3.399844,1614.191610
14000,3.364624231,3.364624,1631.088533
16000,5.39324341,5.039324,1625.614754
16000,5.42294317,5.042294,1624.657246
16000,5.37583225,5.037583,1626.176608
16000,5.38025596,5.038026,1626.033819
16000,5.40111255,5.040111,1625.360947
18000,7.168381277,7.168381,1627.145592
18000,7.163923212,7.163923,1628.158155
18000,7.169020167,7.169020,1627.000584
18000,7.166592495,7.166592,1627.551728
18000,7.167326598,7.167327,1627.385029
20000,9.892144555,9.892145,1617.445025
20000,9.885528130,9.885528,1618.527588
20000,9.896259007,9.896259,1616.772559
20000,9.889983929,9.889984,1617.798382
20000,9.894889077,9.894889,1616.996398
