Size,Total time,Compute time,Gflops
1000,0.11732428,0.011732,170.467699
1000,0.8900978,0.008901,224.694410
1000,0.10953956,0.010954,182.582439
1000,0.10997281,0.010997,181.863135
1000,0.9174129,0.009174,218.004347
1500,0.13078335,0.013078,516.120745
1500,0.11834933,0.011835,570.345434
1500,0.11586890,0.011587,582.554939
1500,0.13024962,0.013025,518.235677
1500,0.11673714,0.011674,578.222149
2000,0.20114665,0.020115,795.439546
2000,0.17808082,0.017808,898.468459
2000,0.17957511,0.017958,890.992076
2000,0.17791691,0.017792,899.296194
2000,0.18338453,0.018338,872.483628
2500,0.28192354,0.028192,1108.456569
2500,0.28672399,0.028672,1089.898337
2500,0.29083748,0.029084,1074.483247
2500,0.28053222,0.028053,1113.954041
2500,0.31489160,0.031489,992.405005
3000,0.42754317,0.042754,1263.030351
3000,0.41925904,0.041926,1287.986539
3000,0.42202287,0.042202,1279.551509
3000,0.41837257,0.041837,1290.715594
3000,0.41537116,0.041537,1300.042112
3500,0.66200231,0.066200,1295.312701
3500,0.70656184,0.070656,1213.623425
3500,0.64334913,0.064335,1332.868827
3500,0.63690472,0.063690,1346.355229
3500,0.63812469,0.063812,1343.781260
4000,0.90803599,0.090804,1409.635757
4000,0.88377406,0.088377,1448.333978
4000,0.90710652,0.090711,1411.080145
4000,0.87612842,0.087613,1460.973039
4000,0.87484307,0.087484,1463.119551
4500,0.125779712,0.125780,1448.961817
4500,0.125868909,0.125869,1447.935010
4500,0.125453301,0.125453,1452.731802
4500,0.123426415,0.123426,1476.588298
4500,0.125260234,0.125260,1454.970937
5000,0.171809971,0.171810,1455.095991
5000,0.169858068,0.169858,1471.817047
5000,0.169206707,0.169207,1477.482805
5000,0.171365455,0.171365,1458.870459
5000,0.168234889,0.168235,1486.017564
6000,0.279101894,0.279102,1547.821814
6000,0.281284103,0.281284,1535.813775
6000,0.279280100,0.279280,1546.834164
6000,0.279922940,0.279923,1543.281876
6000,0.279184916,0.279185,1547.361534
7000,0.433976809,0.433977,1580.729628
7000,0.433577286,0.433577,1582.186203
7000,0.433215948,0.433216,1583.505878
7000,0.434510880,0.434511,1578.786704
7000,0.438536517,0.438537,1564.293903
8000,0.636583451,0.636583,1608.587214
8000,0.635627792,0.635628,1611.005706
8000,0.638812990,0.638813,1602.973039
8000,0.635410870,0.635411,1611.555685
8000,0.636152222,0.636152,1609.677628
9000,0.904174339,0.904174,1612.520879
9000,0.909843832,0.909844,1602.472808
9000,0.904154694,0.904155,1612.555915
9000,0.903758694,0.903759,1613.262489
9000,0.903586513,0.903587,1613.569901
10000,1.246833239,1.246833,1604.063749
10000,1.250008225,1.250008,1599.989472
10000,1.250317969,1.250318,1599.593103
10000,1.247116061,1.247116,1603.699978
10000,1.247047541,1.247048,1603.788095
12000,2.148678887,2.148679,1608.430194
12000,2.148485108,2.148485,1608.575264
12000,2.148549327,2.148549,1608.527185
12000,2.146640047,2.146640,1609.957852
12000,2.147952615,2.147953,1608.974042
14000,3.352782727,3.352783,1636.849282
14000,3.369583119,3.369583,1628.688121
14000,3.351173921,3.351174,1637.635088
14000,3.401445454,3.401445,1613.431723
14000,3.353441292,3.353441,1636.527830
16000,5.40439496,5.040439,1625.255101
16000,5.37634292,5.037634,1626.160123
16000,5.40516259,5.040516,1625.230349
16000,5.39597342,5.039597,1625.526693
16000,5.35871640,5.035872,1626.729310
18000,7.165753092,7.165753,1627.742381
18000,7.166926501,7.166927,1627.475878
18000,7.165051196,7.165051,1627.901836
18000,7.172183596,7.172184,1626.282964
18000,7.155751770,7.155752,1630.017415
20000,9.885889512,9.885890,1618.468422
20000,9.887882161,9.887882,1618.142261
20000,9.877893713,9.877894,1619.778514
20000,9.887961646,9.887962,1618.129254
20000,9.884994747,9.884995,1618.614922
