Size,Total time,Compute time,Gflops
1000,0.4888738,0.004889,409.103536
1000,0.4053830,0.004054,493.360600
1000,0.3411489,0.003411,586.254272
1000,0.4536868,0.004537,440.832751
1000,0.3909047,0.003909,511.633654
1000,0.3924392,0.003924,509.633085
1000,0.4627973,0.004628,432.154639
1000,0.3485548,0.003486,573.797865
1000,0.4531942,0.004532,441.311914
1000,0.4093036,0.004093,488.634842
1500,0.6944381,0.006944,972.008880
1500,0.7245842,0.007246,931.568754
1500,0.6790810,0.006791,993.990408
1500,0.7526567,0.007527,896.823213
1500,0.8523800,0.008524,791.900326
2000,0.13446326,0.013446,1187.252053
2000,0.13280691,0.013281,1204.756590
2000,0.13170467,0.013170,1214.839231
2000,0.14565808,0.014566,1098.462921
2000,0.13671855,0.013672,1170.287426
2000,0.13681365,0.013681,1169.473952
2000,0.13772112,0.013772,1161.768072
2000,0.14139105,0.014139,1131.613352
2000,0.13401336,0.013401,1193.910816
2000,0.13425802,0.013426,1191.735138
2500,0.24462883,0.024463,1277.445508
2500,0.24499016,0.024499,1275.561435
2500,0.23843728,0.023844,1310.617199
2500,0.24012836,0.024013,1301.387308
2500,0.24474795,0.024475,1276.823769
3000,0.38768080,0.038768,1392.898488
3000,0.37595647,0.037596,1436.336499
3000,0.38979371,0.038979,1385.348163
3000,0.37644145,0.037644,1434.486027
3000,0.38989725,0.038990,1384.980274
3000,0.37700334,0.037700,1432.348053
3000,0.37564669,0.037565,1437.520985
3000,0.37651333,0.037651,1434.212170
3000,0.37833704,0.037834,1427.298792
3000,0.37692005,0.037692,1432.664566
3500,0.58304523,0.058305,1470.726379
3500,0.58450920,0.058451,1467.042777
3500,0.58526779,0.058527,1465.141282
3500,0.58329752,0.058330,1470.090255
3500,0.58344259,0.058344,1469.724725
4000,0.83268736,0.083269,1537.191582
4000,0.82854632,0.082855,1544.874401
4000,0.82761827,0.082762,1546.606747
4000,0.82792322,0.082792,1546.037083
4000,0.82787239,0.082787,1546.132007
4000,0.83038765,0.083039,1541.448744
4000,0.82830410,0.082830,1545.326167
4000,0.82629819,0.082630,1549.077579
4000,0.82563544,0.082564,1550.321047
4000,0.82921417,0.082921,1543.630158
4500,0.118765117,0.118765,1534.541493
4500,0.118415835,0.118416,1539.067811
4500,0.118739810,0.118740,1534.868550
4500,0.118466805,0.118467,1538.405632
4500,0.119243993,0.119244,1528.378876
5000,0.164652646,0.164653,1518.347904
5000,0.163916022,0.163916,1525.171225
5000,0.164648023,0.164648,1518.390537
5000,0.164060096,0.164060,1523.831852
5000,0.165246352,0.165246,1512.892702
6000,0.277125528,0.277126,1558.860359
6000,0.276751568,0.276752,1560.966766
6000,0.276736503,0.276737,1561.051742
6000,0.278628657,0.278629,1550.450713
6000,0.277006718,0.277007,1559.528964
7000,0.430159433,0.430159,1594.757542
7000,0.429663630,0.429664,1596.597785
7000,0.429488118,0.429488,1597.250241
7000,0.430066535,0.430067,1595.102023
7000,0.429697819,0.429698,1596.470751
8000,0.630357116,0.630357,1624.475990
8000,0.628896898,0.628897,1628.247815
8000,0.630097746,0.630098,1625.144680
8000,0.629344253,0.629344,1627.090412
8000,0.630179032,0.630179,1624.935055
9000,0.892064666,0.892065,1634.410661
9000,0.900616947,0.900617,1618.890256
9000,0.893291928,0.893292,1632.165202
9000,0.893490188,0.893490,1631.803034
9000,0.895129028,0.895129,1628.815461
10000,1.271810404,1.271810,1572.561440
10000,1.265057876,1.265058,1580.955336
10000,1.259462060,1.259462,1587.979554
10000,1.275083542,1.275084,1568.524676
10000,1.263077174,1.263077,1583.434521
12000,2.141735995,2.141736,1613.644262
12000,2.134394175,2.134394,1619.194824
12000,2.136204702,2.136205,1617.822485
12000,2.136509153,2.136509,1617.591947
12000,2.130972017,2.130972,1621.795112
14000,3.365244190,3.365244,1630.788047
14000,3.368913742,3.368914,1629.011729
14000,3.366844499,3.366844,1630.012910
14000,3.360779086,3.360779,1632.954699
14000,3.364514888,3.364515,1631.141541
16000,5.45292813,5.045293,1623.691687
16000,5.39242795,5.039243,1625.641060
16000,5.46183034,5.046183,1623.405244
16000,5.51860137,5.051860,1621.580918
16000,5.42496270,5.042496,1624.592178
18000,7.155117149,7.155117,1630.161989
18000,7.163516632,7.163517,1628.250565
18000,7.166238962,7.166239,1627.632020
18000,7.205987406,7.205987,1618.653953
18000,7.176058440,7.176058,1625.404823
20000,9.859073876,9.859074,1622.870485
20000,9.816320827,9.816321,1629.938577
20000,9.847128675,9.847129,1624.839131
20000,9.816984408,9.816984,1629.828401
20000,9.824654179,9.824654,1628.556050
