Size,Total time,Compute time,Gflops
1000,0.3471308,0.003471,576.151698
1000,0.3788517,0.003789,527.911053
1000,0.3848738,0.003849,519.650857
1000,0.3755669,0.003756,532.528293
1000,0.3686060,0.003686,542.584765
1500,0.7016784,0.007017,961.979163
1500,0.8000957,0.008001,843.649078
1500,0.7744335,0.007744,871.604857
1500,0.6933839,0.006934,973.486693
1500,0.6581258,0.006581,1025.639779
2000,0.13359460,0.013359,1197.653199
2000,0.13633291,0.013633,1170.127911
2000,0.13636210,0.013636,1173.346553
2000,0.13769775,0.013770,1161.965246
2000,0.14443618,0.014444,1107.755688
2500,0.24443535,0.024444,1278.456655
2500,0.23973580,0.023974,1303.518290
2500,0.23812303,0.023812,1312.346815
2500,0.23870093,0.023870,1309.169596
2500,0.23845099,0.023845,1310.541843
3000,0.38879834,0.038880,1388.894819
3000,0.37769184,0.037769,1429.737005
3000,0.38937195,0.038937,1386.848744
3000,0.39047675,0.039048,1382.924848
3000,0.38817665,0.038818,1391.119224
3500,0.58345507,0.058346,1469.693288
3500,0.58401709,0.058402,1468.278951
3500,0.58506774,0.058507,1465.642252
3500,0.58482679,0.058483,1466.246100
3500,0.58886780,0.058887,1456.184223
4000,0.82914412,0.082914,1543.760571
4000,0.82909478,0.082909,1543.852441
4000,0.82963058,0.082963,1542.855375
4000,0.82537718,0.082538,1550.806142
4000,0.83438596,0.083439,1534.062246
4500,0.118712217,0.118712,1535.225309
4500,0.119239437,0.119239,1528.437274
4500,0.118836035,0.118836,1533.625722
4500,0.118854094,0.118854,1533.392699
4500,0.118975835,0.118976,1531.823668
5000,0.163828481,0.163828,1525.986193
5000,0.165061162,0.165061,1514.590089
5000,0.163962285,0.163962,1524.740888
5000,0.164177062,0.164177,1522.746217
5000,0.163995853,0.163996,1524.428792
6000,0.276949337,0.276949,1559.852082
6000,0.277441272,0.277441,1557.086287
6000,0.277510225,0.277510,1556.699397
6000,0.277115083,0.277115,1558.919115
6000,0.277410016,0.277410,1557.261725
7000,0.428943825,0.428944,1599.277015
7000,0.429936783,0.429937,1595.583414
7000,0.430148587,0.430149,1594.797753
7000,0.431915338,0.431915,1588.274228
7000,0.429957479,0.429957,1595.506611
8000,0.631007240,0.631007,1622.802299
8000,0.631092000,0.631092,1622.584346
8000,0.631173628,0.631174,1622.374501
8000,0.631286270,0.631286,1622.085017
8000,0.631447842,0.631448,1621.669965
9000,0.896339470,0.896339,1626.615862
9000,0.895506315,0.895506,1628.129222
9000,0.895576596,0.895577,1628.001453
9000,0.899886442,0.899886,1620.204430
9000,0.895943914,0.895944,1627.334007
10000,1.264335790,1.264336,1581.858250
10000,1.262361623,1.262362,1584.332067
10000,1.258773231,1.258773,1588.848532
10000,1.261732800,1.261733,1585.121668
10000,1.262742048,1.262742,1583.854757
12000,2.133964761,2.133965,1619.520651
12000,2.134410260,2.134410,1619.182621
12000,2.138010144,2.138010,1616.456316
12000,2.137565876,2.137566,1616.792277
12000,2.134024908,2.134025,1619.475006
14000,3.396905542,3.396906,1615.588050
14000,3.408464918,3.408465,1610.108988
14000,3.371559962,3.371560,1627.733175
14000,3.387023963,3.387024,1620.301498
14000,3.364551878,3.364552,1631.123608
16000,5.53193551,5.053194,1621.153023
16000,5.76590340,5.076590,1613.681517
16000,5.63816164,5.063816,1617.752251
16000,5.62029388,5.062029,1618.323279
16000,5.64715347,5.064715,1617.465038
18000,7.183271893,7.183272,1623.772589
18000,7.195769451,7.195769,1620.952433
18000,7.186416851,7.186417,1623.061985
18000,7.187199485,7.187199,1622.885245
18000,7.187336554,7.187337,1622.854296
20000,9.890227411,9.890227,1617.758554
20000,9.901891308,9.901891,1615.852922
20000,9.873534709,9.873535,1620.493620
20000,9.900725899,9.900726,1616.043123
20000,9.914534788,9.914535,1613.792310
