Size,Total time,Compute time,Gflops
1000,0.3907575,0.003908,511.826388
1000,0.4763287,0.004763,419.878122
1000,0.3677109,0.003677,543.905552
1000,0.4931760,0.004932,405.534738
1000,0.3433377,0.003433,582.516863
1500,0.6877801,0.006878,981.418334
1500,0.8567971,0.008568,787.817793
1500,0.7543709,0.007544,894.785311
1500,0.7578632,0.007579,890.662061
1500,0.7626406,0.007626,885.082698
2000,0.13507623,0.013508,1184.516328
2000,0.13553626,0.013554,1180.495906
2000,0.13331676,0.013332,1200.149179
2000,0.13351299,0.013351,1198.385266
2000,0.13180124,0.013180,1213.949125
2500,0.23713732,0.023714,1317.801854
2500,0.23928024,0.023928,1306.000027
2500,0.23994626,0.023995,1302.374957
2500,0.24045225,0.024045,1299.634335
2500,0.24577623,0.024578,1271.481787
3000,0.37860478,0.037860,1426.289441
3000,0.37502464,0.037502,1439.905389
3000,0.37665150,0.037665,1433.686047
3000,0.37551230,0.037551,1438.035452
3000,0.37626184,0.037626,1435.170784
3500,0.58587181,0.058587,1463.630756
3500,0.58206345,0.058206,1473.207088
3500,0.58452993,0.058453,1466.990749
3500,0.58694356,0.058694,1460.958188
3500,0.58351759,0.058352,1469.535820
4000,0.83960768,0.083961,1524.521548
4000,0.83761731,0.083762,1528.144159
4000,0.84767074,0.084767,1510.020270
4000,0.82564037,0.082564,1550.311790
4000,0.83321326,0.083321,1536.221351
4500,0.118606226,0.118606,1536.597244
4500,0.118571613,0.118572,1537.045802
4500,0.118973227,0.118973,1531.857247
4500,0.119745953,0.119746,1521.972104
4500,0.118994267,0.118994,1531.586391
5000,0.166655645,0.166656,1500.099202
5000,0.166653688,0.166654,1500.116817
5000,0.164271852,0.164272,1521.867544
5000,0.165047005,0.165047,1514.720004
5000,0.163152955,0.163153,1532.304456
6000,0.276495631,0.276496,1562.411668
6000,0.276874614,0.276875,1560.273056
6000,0.276812906,0.276813,1560.620877
6000,0.277391235,0.277391,1557.367161
6000,0.277016042,0.277016,1559.476472
7000,0.429912304,0.429912,1595.674266
7000,0.433739064,0.433739,1581.596072
7000,0.430088616,0.430089,1595.020130
7000,0.430625491,0.430625,1593.031565
7000,0.429918005,0.429918,1595.653106
8000,0.632516139,0.632516,1618.931023
8000,0.637315745,0.637316,1606.738901
8000,0.630514011,0.630514,1624.071761
8000,0.634435472,0.634435,1614.033334
8000,0.633180677,0.633181,1617.231917
9000,0.894127009,0.894127,1630.640821
9000,0.894259753,0.894260,1630.398768
9000,0.894406270,0.894406,1630.131685
9000,0.892198597,0.892199,1634.165314
9000,0.893256331,0.893256,1632.230245
10000,1.260911211,1.260911,1586.154507
10000,1.261823802,1.261824,1585.007350
10000,1.263952136,1.263952,1582.338400
10000,1.264792144,1.264792,1581.287494
10000,1.274967959,1.274968,1568.666872
12000,2.138836850,2.138837,1615.831521
12000,2.136841147,2.136841,1617.340627
12000,2.141876805,2.141877,1613.538179
12000,2.139992276,2.139992,1614.959100
12000,2.134536263,2.134536,1619.087040
14000,3.372095560,3.372096,1627.474638
14000,3.387752782,3.387753,1619.952917
14000,3.369007702,3.369008,1628.966297
14000,3.391643638,3.391644,1618.094525
14000,3.364264849,3.364265,1631.262771
16000,5.64522927,5.064523,1617.526491
16000,5.62949608,5.062950,1618.029140
16000,5.62208743,5.062209,1618.265942
16000,5.63349234,5.063349,1617.901437
16000,5.101689154,5.101689,1605.742677
18000,7.188463529,7.188464,1622.599872
18000,7.199447973,7.199448,1620.124216
18000,7.199197995,7.199198,1620.180471
18000,7.198282834,7.198283,1620.386455
18000,7.196879584,7.196880,1620.702398
20000,9.889261502,9.889262,1617.916565
20000,9.876924242,9.876924,1619.937504
20000,9.889398950,9.889399,1617.894078
20000,9.886666052,9.886666,1618.341301
