Size,Total time,Compute time,Gflops
1000,0.12711613,0.012712,157.336445
1000,0.10428008,0.010428,191.791184
1000,0.10658159,0.010658,187.649668
1000,0.15260543,0.015261,131.056936
1000,0.12154170,0.012154,164.552577
1500,0.16168374,0.016168,417.481684
1500,0.28593853,0.028594,236.064723
1500,0.17963903,0.017964,375.753532
1500,0.15986394,0.015986,422.234057
1500,0.22788795,0.022789,296.198197
2000,0.27830304,0.027830,574.912872
2000,0.28974837,0.028975,552.203279
2000,0.28169673,0.028170,567.986714
2000,0.30944534,0.030945,517.054159
2000,0.28384135,0.028384,563.695177
2500,0.51060008,0.051060,612.024973
2500,0.49000935,0.049001,637.742933
2500,0.51635743,0.051636,605.200936
2500,0.49045508,0.049046,637.163346
2500,0.48564983,0.048565,643.467743
3000,0.76438986,0.076439,706.445792
3000,0.77922523,0.077923,692.996042
3000,0.76864731,0.076865,702.532869
3000,0.77373991,0.077374,697.908939
3000,0.77313597,0.077314,698.454115
3500,0.116001409,0.116001,739.215159
3500,0.116180573,0.116181,738.075203
3500,0.116356569,0.116357,736.958822
3500,0.116358598,0.116359,736.945971
3500,0.116610268,0.116610,735.355483
4000,0.165219551,0.165220,774.726715
4000,0.165012811,0.165013,775.697349
4000,0.165357957,0.165358,774.078262
4000,0.164670963,0.164671,777.307654
4000,0.166105978,0.166106,770.592374
4500,0.229583851,0.229584,793.827611
4500,0.229138386,0.229138,795.370881
4500,0.229328366,0.229328,794.711981
4500,0.229256633,0.229257,794.960641
4500,0.230438825,0.230439,790.882352
5000,0.315651716,0.315652,792.012168
5000,0.315496949,0.315497,792.400690
5000,0.316226067,0.316226,790.573663
5000,0.315544565,0.315545,792.281116
5000,0.317649348,0.317649,787.031365
6000,0.530773892,0.530774,813.905896
6000,0.531983201,0.531983,812.055718
6000,0.532320099,0.532320,811.541779
6000,0.532455049,0.532455,811.336095
6000,0.530932398,0.530932,813.662910
7000,0.847185610,0.847186,809.739910
7000,0.847600005,0.847600,809.344025
7000,0.847676536,0.847677,809.270955
7000,0.846884638,0.846885,810.027682
7000,0.846626208,0.846626,810.274940
8000,1.247281104,1.247281,820.985740
8000,1.249866454,1.249866,819.287530
8000,1.249341778,1.249342,819.631600
8000,1.248230514,1.248231,820.361294
8000,1.247846487,1.247846,820.613762
9000,1.766414313,1.766414,825.400921
9000,1.769157722,1.769158,824.120982
9000,1.767627546,1.767628,824.834396
9000,1.767956929,1.767957,824.680724
9000,1.765053440,1.765053,826.037313
10000,2.440281654,2.440282,819.577526
10000,2.441181202,2.441181,819.275521
10000,2.440840014,2.440840,819.390041
10000,2.439075692,2.439076,819.982753
10000,2.439646462,2.439646,819.790913
12000,4.189981274,4.189981,824.824689
12000,4.197963344,4.197963,823.256355
12000,4.187443736,4.187444,825.324522
12000,4.186807979,4.186808,825.449846
12000,4.188926398,4.188926,825.032400
14000,6.674576967,6.674577,822.224394
14000,6.656887258,6.656887,824.409335
14000,6.676547143,6.676547,821.981764
14000,6.649225322,6.649225,825.359306
14000,6.653190677,6.653191,824.867386
16000,9.937117301,9.937117,824.383949
16000,9.935572601,9.935573,824.512117
16000,9.935057324,9.935057,824.554880
16000,9.937894060,9.937894,824.319514
16000,9.933425443,9.933425,824.690339
18000,14.61326842,14.061327,829.509201
18000,14.64260669,14.064261,829.336165
18000,14.53381605,14.053382,829.978174
18000,14.95133969,14.095134,827.519627
18000,14.74665207,14.074665,828.723087
20000,19.463522984,19.463523,822.050562
20000,19.415458122,19.415458,824.085628
20000,19.384584817,19.384585,825.398127
20000,19.367946536,19.367947,826.107196
20000,19.490504861,19.490505,820.912548
