Size,Total time,Compute time,Gflops
1000,0.13421280,0.013421,149.017083
1000,0.9821795,0.009822,203.628766
1000,0.9952458,0.009952,200.955382
1000,0.9094227,0.009094,219.919736
1000,0.9132897,0.009133,218.988564
1500,0.16639199,0.016639,405.668566
1500,0.10994714,0.010995,613.931386
1500,0.11618200,0.011618,580.985006
1500,0.11171401,0.011171,604.221440
1500,0.13867842,0.013868,486.737590
2000,0.18886267,0.018886,847.176417
2000,0.17827379,0.017827,897.495925
2000,0.18750444,0.018750,853.313127
2000,0.17638282,0.017638,907.117825
2000,0.18570224,0.018570,861.594346
2500,0.28059304,0.028059,1113.712585
2500,0.27476448,0.027476,1137.337694
2500,0.30973035,0.030973,1008.942133
2500,0.27940273,0.027940,1118.457218
2500,0.28941332,0.028941,1079.770620
3000,0.42161581,0.042162,1280.786885
3000,0.45623888,0.045624,1183.590491
3000,0.42485159,0.042485,1271.032080
3000,0.42529653,0.042530,1269.702342
3000,0.41567321,0.041567,1299.097433
3500,0.63263871,0.063264,1355.433973
3500,0.63797747,0.063798,1344.091352
3500,0.65073112,0.065073,1317.748566
3500,0.66130723,0.066131,1296.674165
3500,0.70182242,0.070182,1221.819046
4000,0.88610806,0.088611,1444.519080
4000,0.87429734,0.087430,1464.032820
4000,0.88857494,0.088857,1440.508777
4000,0.87404921,0.087405,1464.448438
4000,0.90089192,0.090089,1420.814164
4500,0.123405286,0.123405,1476.841114
4500,0.122845954,0.122846,1483.565344
4500,0.125824255,0.125824,1448.448870
4500,0.122899001,0.122899,1482.924991
4500,0.123079413,0.123079,1480.751293
5000,0.169299801,0.169300,1476.670371
5000,0.171738309,0.171738,1455.703165
5000,0.176475291,0.176475,1416.628915
5000,0.169508253,0.169508,1474.854443
5000,0.168168850,0.168169,1486.601115
6000,0.280224581,0.280225,1541.620647
6000,0.279138008,0.279138,1547.621562
6000,0.286942918,0.286943,1505.525918
6000,0.279568679,0.279569,1545.237476
6000,0.281921045,0.281921,1532.343923
7000,0.432183038,0.432183,1587.290429
7000,0.432920153,0.432920,1584.587817
7000,0.432317910,0.432318,1586.795236
7000,0.431993108,0.431993,1587.988297
7000,0.432095551,0.432096,1587.611810
8000,0.635650693,0.635651,1610.947666
8000,0.635035998,0.635036,1612.507013
8000,0.638667027,0.638667,1603.339388
8000,0.636837087,0.636837,1607.946555
8000,0.634939506,0.634940,1612.752066
9000,0.903463501,0.903464,1613.789598
9000,0.906069026,0.906069,1609.148926
9000,0.905812121,0.905812,1609.605310
9000,0.905512362,0.905512,1610.138151
9000,0.905144009,0.905144,1610.793405
10000,1.246517784,1.246518,1604.469688
10000,1.247393159,1.247393,1603.343730
10000,1.245263815,1.245264,1606.085374
10000,1.246052568,1.246053,1605.068720
10000,1.247409518,1.247410,1603.322703
12000,2.148479384,2.148479,1608.579550
12000,2.146695258,2.146695,1609.916446
12000,2.145940182,2.145940,1610.482915
12000,2.145601817,2.145602,1610.736891
12000,2.143965992,2.143966,1611.965867
14000,3.351789746,3.351790,1637.334205
14000,3.353319900,3.353320,1636.587073
14000,3.352574803,3.352575,1636.950798
14000,3.352757615,3.352758,1636.861542
14000,3.354435734,3.354436,1636.042672
16000,5.23174927,5.023175,1630.841075
16000,5.37855177,5.037855,1626.088824
16000,5.27496349,5.027496,1629.439274
16000,5.36432199,5.036432,1626.548254
16000,5.33908619,5.033909,1627.363669
18000,7.161346430,7.161346,1628.743996
18000,7.151117014,7.151117,1631.073856
18000,7.156372607,7.156373,1629.876006
18000,7.162262895,7.162263,1628.535586
18000,7.160125765,7.160126,1629.021666
20000,9.861667252,9.861667,1622.443710
20000,9.956339535,9.956340,1607.016308
20000,9.885554786,9.885555,1618.523224
20000,9.922563365,9.922563,1612.486553
20000,9.884659300,9.884659,1618.669851
