Size,Total time,Compute time,Gflops
1000,0.11589095,0.011589,172.576029
1000,0.5068138,0.005068,394.622246
1000,0.5099336,0.005099,392.207927
1000,0.5028756,0.005029,397.712675
1000,0.6715604,0.006716,297.813868
1500,0.11503251,0.011503,586.790639
1500,0.12250677,0.012251,550.989958
1500,0.11610491,0.011610,581.370762
1500,0.11547913,0.011548,584.521203
1500,0.11514873,0.011515,586.198389
2000,0.24135354,0.024135,662.927919
2000,0.23460297,0.023460,682.003301
2000,0.23839508,0.023840,671.154791
2000,0.23264366,0.023264,687.747089
2000,0.23975764,0.023976,667.340569
2500,0.44401659,0.044402,703.802531
2500,0.44426854,0.044427,703.403397
2500,0.44611551,0.044612,700.491225
2500,0.45012649,0.045013,694.249299
2500,0.44584687,0.044585,700.913298
3000,0.74277956,0.074278,726.999004
3000,0.73324277,0.073324,736.454585
3000,0.73804652,0.073805,731.661197
3000,0.74068576,0.074069,729.054113
3000,0.82652447,0.082652,653.338189
3500,0.114267145,0.114267,750.434432
3500,0.113429730,0.113430,755.974646
3500,0.113247726,0.113248,757.189597
3500,0.113496078,0.113496,755.532715
3500,0.113490805,0.113491,755.567819
4000,0.162873225,0.162873,785.887306
4000,0.162674427,0.162674,786.847708
4000,0.162713574,0.162714,786.658401
4000,0.163536571,0.163537,782.699547
4000,0.163055938,0.163056,785.006677
4500,0.234322791,0.234323,777.773256
4500,0.234281155,0.234281,777.911480
4500,0.231387973,0.231388,787.638172
4500,0.231790093,0.231790,786.271741
4500,0.232275786,0.232276,784.627632
5000,0.324483548,0.324484,770.455086
5000,0.324319012,0.324319,770.845960
5000,0.324108263,0.324108,771.347196
5000,0.323749240,0.323749,772.202585
5000,0.324430804,0.324431,770.580342
6000,0.541511857,0.541512,797.766465
6000,0.538453694,0.538454,802.297402
6000,0.539747058,0.539747,800.374904
6000,0.540183175,0.540183,799.728722
6000,0.539475084,0.539475,800.778410
7000,0.866832997,0.866833,791.386579
7000,0.870480932,0.870481,788.070106
7000,0.867399723,0.867400,790.869517
7000,0.867278237,0.867278,790.980300
7000,0.866289196,0.866289,791.883361
8000,1.277598939,1.277599,801.503483
8000,1.277320199,1.277320,801.678389
8000,1.275061079,1.275061,803.098782
8000,1.275964535,1.275965,802.530142
8000,1.274588786,1.274589,803.396367
9000,1.805689043,1.805689,807.447996
9000,1.804651435,1.804651,807.912249
9000,1.810875488,1.810875,805.135422
9000,1.810337470,1.810337,805.374702
9000,1.805467460,1.805467,807.547094
10000,2.478246965,2.478247,807.022072
10000,2.482453472,2.482453,805.654576
10000,2.477598926,2.477599,807.233156
10000,2.481559869,2.481560,805.944690
10000,2.487215076,2.487215,804.112205
12000,4.372649393,4.372649,790.367507
12000,4.348147911,4.348148,794.821168
12000,4.349131084,4.349131,794.641489
12000,4.327948205,4.327948,798.530813
12000,4.320961653,4.320962,799.821956
14000,6.867388630,6.867389,799.139279
14000,6.889879919,6.889880,796.530573
14000,6.933580996,6.933581,791.510188
14000,6.898064486,6.898064,795.585488
14000,6.877810325,6.877810,797.928373
16000,10.195323758,10.195324,803.505626
16000,10.198447330,10.198447,803.259529
16000,10.196245899,10.196246,803.432958
16000,10.193473327,10.193473,803.651487
16000,10.185201186,10.185201,804.304191
18000,14.487396882,14.487397,805.113582
18000,14.514960721,14.514961,803.584675
18000,14.450472158,14.450472,807.170857
18000,14.436694327,14.436694,807.941190
18000,14.491758589,14.491759,804.871260
20000,19.988597886,19.988598,800.456345
20000,19.963276482,19.963276,801.471643
20000,20.56351155,20.056351,797.752287
20000,19.993983580,19.993984,800.240729
20000,20.1156617,20.001157,799.953738
