Size,Total time,Compute time,Gflops
1000,0.3561218,0.003561,561.605608
1000,0.4751990,0.004752,420.876307
1000,0.3486617,0.003487,573.621938
1000,0.4953943,0.004954,403.718815
1000,0.3438317,0.003438,581.679932
1500,0.6714763,0.006715,1005.247691
1500,0.7457210,0.007457,905.164264
1500,0.7939219,0.007939,850.209574
1500,0.6731335,0.006731,1002.772853
1500,0.6706774,0.006707,1006.445125
2000,0.14269715,0.014270,1121.255750
2000,0.13346920,0.013347,1198.778445
2000,0.13816829,0.013817,1158.008107
2000,0.14420374,0.014420,1109.541264
2000,0.14524680,0.014525,1101.573322
2500,0.23874152,0.023874,1308.947015
2500,0.23841324,0.023841,1310.749353
2500,0.23977627,0.023978,1303.298279
2500,0.23707715,0.023708,1318.136311
2500,0.24263381,0.024263,1287.949111
3000,0.39123417,0.039123,1380.247538
3000,0.38078314,0.038078,1418.130015
3000,0.38834840,0.038835,1390.503991
3000,0.37391408,0.037391,1444.182043
3000,0.37871078,0.037871,1425.890227
3500,0.58419519,0.058420,1467.831325
3500,0.58518526,0.058519,1465.347914
3500,0.58178037,0.058178,1473.923914
3500,0.58329226,0.058329,1470.103512
3500,0.58395746,0.058396,1468.428882
4000,0.82966546,0.082967,1542.790512
4000,0.82603523,0.082604,1549.570713
4000,0.83607014,0.083607,1530.972031
4000,0.83137823,0.083138,1539.612121
4000,0.82660034,0.082660,1548.511340
4500,0.120181655,0.120182,1516.454404
4500,0.118675932,0.118676,1535.694702
4500,0.118436733,0.118437,1538.796245
4500,0.119225556,0.119226,1528.615224
4500,0.118964808,0.118965,1531.965655
5000,0.163057039,0.163057,1533.205813
5000,0.164242656,0.164243,1522.138074
5000,0.165384971,0.165385,1511.624657
5000,0.163278482,0.163278,1531.126435
5000,0.163245371,0.163245,1531.436992
6000,0.276823842,0.276824,1560.559224
6000,0.276518595,0.276519,1562.281915
6000,0.276972986,0.276973,1559.718896
6000,0.276774861,0.276775,1560.835397
6000,0.276331262,0.276331,1563.341031
7000,0.429060809,0.429061,1598.840970
7000,0.430890079,0.430890,1592.053364
7000,0.433822900,0.433823,1581.290430
7000,0.432469819,0.432470,1586.237860
7000,0.429137624,0.429138,1598.554780
8000,0.628187366,0.628187,1630.086906
8000,0.629441507,0.629442,1626.839013
8000,0.628966101,0.628966,1628.068664
8000,0.629781986,0.629782,1625.959495
8000,0.628983776,0.628984,1628.022914
9000,0.891955608,0.891956,1634.610497
9000,0.892429798,0.892430,1633.741952
9000,0.891230189,0.891230,1635.940993
9000,0.893476739,0.893477,1631.827597
9000,0.893151259,0.893151,1632.422264
10000,1.259646099,1.259646,1587.747544
10000,1.266040243,1.266040,1579.728615
10000,1.261598031,1.261598,1585.290997
10000,1.275392806,1.275393,1568.144332
10000,1.266576522,1.266577,1579.059745
12000,2.129031515,2.129032,1623.273294
12000,2.131889627,2.131890,1621.097057
12000,2.134591416,2.134591,1619.045207
12000,2.134250017,2.134250,1619.304192
12000,2.134719358,2.134719,1618.948171
14000,3.359607251,3.359607,1633.524275
14000,3.377599196,3.377599,1624.822746
14000,3.365963885,3.365964,1630.439359
14000,3.360813145,3.360813,1632.938150
14000,3.368237845,3.368238,1629.338619
16000,5.56205345,5.056205,1620.187362
16000,5.56570227,5.056570,1620.070449
16000,5.118727253,5.118727,1600.397832
16000,5.34068105,5.034068,1627.312112
16000,5.50327632,5.050328,1622.072982
18000,7.194801695,7.194802,1621.170464
18000,7.174560634,7.174561,1625.744153
18000,7.185896743,7.185897,1623.179461
18000,7.184884499,7.184884,1623.408143
18000,7.222497738,7.222498,1614.953777
20000,9.880901662,9.880902,1619.285420
20000,9.793258360,9.793258,1633.776973
20000,9.880807183,9.880807,1619.300904
20000,9.880960841,9.880961,1619.275722
20000,9.793343727,9.793344,1633.762732
