Size,Total time,Compute time,Gflops
1,100.370601170,100.370601,67.250768
1,100.354270654,100.354270,67.254929
1,100.334389473,100.334389,67.269937
1,100.354480614,100.354480,67.247985
1,100.364580671,100.364586,67.253934
2,53.593173551,53.593174,125.948177
2,52.559633083,52.559633,128.425554
2,53.502711642,53.502712,126.161830
2,52.875256952,52.875257,127.658954
2,55.659711252,55.659711,121.272638
4,28.207985158,28.207985,239.293943
4,28.382719773,28.382720,237.820760
4,28.247038786,28.247039,238.963102
4,28.335543468,28.335543,238.216712
4,28.314326701,28.314327,238.395215
6,16.513169668,16.513170,408.764649
6,16.532872236,16.532872,408.277515
6,16.488668394,16.488668,409.372051
6,16.537069844,16.537070,408.173882
6,16.538198328,16.538198,408.146031
8,12.269658046,12.269658,550.137581
8,12.271294337,12.271294,550.064224
8,12.249566492,12.249566,551.039909
8,12.299255372,12.299255,548.813712
8,12.260113482,12.260113,550.565866
10,9.810801214,9.810801,688.017202
10,9.807690372,9.807690,688.235430
10,9.808811326,9.808811,688.156778
10,9.811422470,9.811422,687.973637
10,9.812765791,9.812766,687.879457
12,8.216156983,8.216157,821.551975
12,8.212890203,8.212890,821.878758
12,8.197302794,8.197303,823.441584
12,8.217716776,8.217717,821.396038
12,8.212473594,8.212474,821.920451
14,7.201563103,7.201563,937.296515
14,7.206403037,7.206403,936.667012
14,7.151716338,7.151716,943.829380
14,7.189085406,7.189085,938.923329
14,7.178455789,7.178456,940.313655
16,6.276107819,6.276108,1075.507336
16,6.279016804,6.279017,1075.009068
16,6.279834429,6.279834,1074.869103
16,6.286026802,6.286027,1073.810248
16,6.276787918,6.276788,1075.390803
18,5.598118344,5.598118,1205.762291
18,5.616794700,5.616795,1201.753021
18,5.597819055,5.597819,1205.826757
18,5.597234079,5.597234,1205.952780
18,5.596599948,5.596600,1206.089423
20,5.38944025,5.038944,1339.566379
20,5.45337392,5.045337,1337.868903
20,5.21172566,5.021173,1344.307512
20,5.60083493,5.060083,1333.970084
20,5.53496278,5.053496,1335.708909
22,4.627187991,4.627188,1458.769346
22,4.658580409,4.658580,1448.939249
22,4.632429383,4.632429,1457.118812
22,4.631764289,4.631764,1457.328046
22,4.624078373,4.624078,1459.750345
24,4.271446106,4.271446,1580.261071
24,4.268413241,4.268413,1581.383905
24,4.258583670,4.258584,1585.034021
24,4.264228661,4.264229,1582.935751
24,4.264870259,4.264870,1582.697618
