Size,Total time,Compute time,Gflops
1,98.584381332,98.584381,68.469265
1,98.528142581,98.528142,68.496359
1,98.503542581,98.503542,68.536249
1,98.496342581,98.496342,68.551669
1,98.567142581,98.567142,68.516196
2,54.231397153,54.231397,124.466644
2,53.815251464,53.815251,125.429127
2,54.439614134,54.439614,123.990592
2,54.192679177,54.192679,124.555569
2,54.692679177,54.692679,124.355569
4,29.883306409,29.883306,225.878620
4,30.19186760,30.019187,224.856191
4,29.901877278,29.901877,225.738335
4,30.166479816,30.166480,223.758292
4,29.830653332,29.830653,226.277310
6,16.895913497,16.895913,399.504886
6,16.976523889,16.976524,397.607899
6,16.909413849,16.909414,399.185924
6,16.945817207,16.945817,398.328385
6,16.899952786,16.899953,399.409400
8,12.649175907,12.649176,533.631602
8,12.707876005,12.707876,531.166656
8,12.650016842,12.650017,533.596128
8,12.682281469,12.682281,532.238621
8,12.672208868,12.672209,532.661675
10,10.104962124,10.104962,667.988649
10,10.175724844,10.175725,663.343408
10,10.109312300,10.109312,667.701205
10,10.104746601,10.104747,668.002897
10,10.120272671,10.120273,666.978077
12,8.967704680,8.967705,752.700969
12,9.428421504,9.428422,715.920475
12,9.142990582,9.142991,738.270475
12,8.718204768,8.718205,774.241966
12,9.568001093,9.568001,705.476508
14,8.289390845,8.289391,814.293852
14,7.377073126,7.377073,914.997030
14,7.857916878,7.857917,859.006287
14,7.383569737,7.383570,914.191948
14,7.365481855,7.365482,916.436987
16,7.585467040,7.585467,889.859512
16,6.653800927,6.653801,1014.457762
16,6.562203007,6.562203,1028.617980
16,6.758551615,6.758552,998.734697
16,6.463496307,6.463496,1044.326426
18,5.916079928,5.916080,1140.958216
18,5.953214748,5.953215,1133.841174
18,5.889145718,5.889146,1146.176427
18,6.29715650,6.029716,1119.455774
18,6.207959878,6.207960,1087.313728
20,5.265783219,5.265783,1281.860593
20,5.411459675,5.411460,1247.352915
20,5.384772440,5.384772,1253.534866
20,5.293372743,5.293373,1275.179423
20,5.252660341,5.252660,1285.063104
22,4.865409276,4.865409,1387.344747
22,5.817453987,5.817454,1160.301399
22,5.492629669,5.492630,1228.919553
22,5.167151566,5.167152,1306.329012
22,4.872105306,4.872105,1385.438035
24,4.771696937,4.771697,1414.591096
24,4.692421547,4.692422,1438.489686
24,4.591949828,4.591950,1469.963796
24,4.531473838,4.531474,1489.581589
24,4.683299878,4.683300,1441.291435
