Size,Total time,Compute time,Gflops
1,49.494550931,49.494551,136.378649
1,50.27489923,50.074899,135.146783
1,50.22267913,50.022268,134.939903
1,50.312081336,50.312081,134.162607
1,50.192962245,50.192962,134.481005
2,30.675990593,30.675991,220.041794
2,30.632931512,30.632932,220.351095
2,30.904368936,30.904369,218.415720
2,30.914566638,30.914567,218.343672
2,30.165946869,30.165947,223.762245
4,12.983203353,12.983203,519.902509
4,13.106395707,13.106396,515.015734
4,13.84881076,13.084881,515.862541
4,13.97288826,13.097289,515.373837
4,13.73358315,13.073358,516.317218
6,8.766946307,8.766946,769.937418
6,8.726368683,8.726369,773.517627
6,8.557342436,8.557342,788.796294
6,8.821762729,8.821763,765.153202
6,8.535292949,8.535293,790.834016
8,6.415796693,6.415797,1052.090695
8,6.496099412,6.496099,1039.085084
8,6.348258741,6.348259,1063.283693
8,6.369103175,6.369103,1059.803840
8,6.519986653,6.519987,1035.278193
10,5.112339761,5.112340,1320.334781
10,5.109577677,5.109578,1321.048515
10,5.121277405,5.121277,1318.030535
10,5.73283090,5.073283,1330.499379
10,5.110073666,5.110074,1320.920292
12,4.219988927,4.219989,1599.530263
12,4.225420957,4.225421,1597.473972
12,4.231829525,4.231830,1595.054801
12,4.244955598,4.244956,1590.122639
12,4.245248623,4.245249,1590.012883
14,3.642403131,3.642403,1853.172139
14,3.645897935,3.645898,1851.395766
14,3.642881726,3.642882,1852.928672
14,3.657546432,3.657546,1845.499470
14,3.636352048,3.636352,1856.255916
16,3.202109606,3.202110,2107.985307
16,3.194545968,3.194546,2112.976325
16,3.205484867,3.205485,2105.765674
16,3.199282367,3.199282,2109.848155
16,3.207519689,3.207520,2104.429795
18,2.888388266,2.888388,2336.943436
18,2.894376475,2.894376,2332.108507
18,2.891562029,2.891562,2334.378420
18,2.888053203,2.888053,2337.214561
18,2.894561214,2.894561,2331.959665
20,2.585766816,2.585767,2610.444205
20,2.565118578,2.565119,2631.457297
20,2.584887698,2.584888,2611.332015
20,2.594648525,2.594649,2601.508426
20,2.590227789,2.590228,2605.948415
22,2.368593320,2.368593,2849.792720
22,2.393924060,2.393924,2819.638314
22,2.376912983,2.376913,2839.817885
22,2.375701330,2.375701,2841.266246
22,2.370981675,2.370982,2846.922045
24,2.176024612,2.176025,3101.986973
24,2.170378209,2.170378,3110.057027
24,2.171463362,2.171463,3108.502827
24,2.178364006,2.178364,3098.655680
24,2.181072673,2.181073,3094.807470
