Size,Total time,Compute time,Gflops
1000,0.167841733,0.167842,11.915988
1000,0.185304538,0.185305,10.793044
1000,0.180855856,0.180856,11.058531
1000,0.179812535,0.179813,11.122695
1000,0.180860678,0.180861,11.058236
1500,0.321807650,0.321808,20.975263
1500,0.321742048,0.321742,20.979539
1500,0.319226702,0.319227,21.144848
1500,0.324887196,0.324887,20.776442
1500,0.321682406,0.321682,20.983429
2000,5.909754659,5.909755,2.707388
2000,5.931479401,5.931479,2.697472
2000,6.4406639,6.004407,2.664710
2000,5.991616388,5.991616,2.670398
2000,5.886728840,5.886729,2.717978
2500,8.409241001,8.409241,3.716150
2500,8.323290346,8.323290,3.754525
2500,8.249091448,8.249091,3.788296
2500,8.127130597,8.127131,3.845146
2500,8.297452679,8.297453,3.766216
3000,10.562849916,10.562850,5.112257
3000,10.596704787,10.596705,5.095924
3000,10.462991032,10.462991,5.161048
3000,10.523323974,10.523324,5.131458
3000,10.858424882,10.858425,4.973097
3500,15.39084363,15.039084,5.701810
3500,15.216851318,15.216851,5.635200
3500,14.919317265,14.919317,5.747582
3500,15.221239655,15.221240,5.633575
3500,15.42739071,15.042739,5.700425
4000,17.701563128,17.701563,7.231000
4000,17.956977930,17.956978,7.128148
4000,17.811322069,17.811322,7.186440
4000,17.944795080,17.944795,7.132988
4000,18.28588848,18.028589,7.099835
4500,21.776463722,21.776464,8.369127
4500,21.889097129,21.889097,8.326063
4500,21.914953964,21.914954,8.316239
4500,21.746480413,21.746480,8.380667
4500,21.961782823,21.961783,8.298507
5000,28.228972370,28.228972,8.856150
5000,28.195493449,28.195493,8.866665
5000,28.517022229,28.517022,8.766694
5000,28.99807747,28.099808,8.896858
5000,28.60055719,28.060056,8.909462
5500,32.330426302,32.330426,10.292162
5500,32.331670496,32.331670,10.291766
5500,32.665842019,32.665842,10.186482
5500,32.569519689,32.569520,10.216608
5500,32.55536004,32.055536,10.380422
6000,37.105978611,37.105979,11.642329
6000,37.278538971,37.278539,11.588437
6000,37.94209801,37.094210,11.646022
6000,37.248578069,37.248578,11.597758
6000,37.262679655,37.262680,11.593369
6000,37.623525400,37.623525,11.482178
6000,37.519581504,37.519582,11.513988
6000,37.145082649,37.145083,11.630072
6000,37.758720828,37.758721,11.441066
6000,37.432317755,37.432318,11.540830
6500,12.908818147,12.908818,42.548434
6500,12.22716117,12.022716,45.684352
6500,10.135166959,10.135167,54.192497
6500,10.647859599,10.647860,51.583137
6500,11.634487542,11.634488,47.208783
7000,11.521932687,11.521933,59.538622
7000,12.232044697,12.232045,56.082202
7000,12.455887021,12.455887,55.074360
7000,11.304791109,11.304791,60.682236
7000,14.466362961,14.466363,47.420350
7000,12.131435817,12.131436,56.547305
7000,11.247537690,11.247538,60.991127
7000,11.33103245,11.033103,62.176523
7000,11.910936733,11.910937,57.594127
7000,12.163623436,12.163623,56.397668
7500,6.636104781,6.636105,127.145370
7500,6.722409558,6.722410,125.513031
7500,7.397882979,7.397883,114.052899
7500,6.585410628,6.585411,128.124129
7500,7.795892365,7.795892,108.230073
8000,7.882148790,7.882149,129.913812
8000,7.881546440,7.881546,129.923741
8000,7.889176211,7.889176,129.798090
8000,7.895313381,7.895313,129.697195
8000,7.887607677,7.887608,129.823901
9000,11.191243926,11.191244,130.280424
9000,11.480111819,11.480112,127.002247
9000,11.274958394,11.274958,129.313116
9000,11.245164741,11.245165,129.655726
9000,11.168673156,11.168673,130.543707
10000,15.426617683,15.426618,129.646047
10000,15.812370822,15.812371,126.483247
10000,15.449952078,15.449952,129.450240
10000,15.490389427,15.490389,129.112312
10000,15.679642422,15.679642,127.553929
12000,26.265144481,26.265144,131.581229
12000,26.265334099,26.265334,131.580279
12000,26.253483143,26.253483,131.639675
12000,26.258450817,26.258451,131.614771
12000,26.280707948,26.280708,131.503307
14000,41.27918237,41.027918,133.762575
14000,40.999154302,40.999154,133.856420
14000,41.3830988,41.003831,133.841153
14000,41.28809150,41.028809,133.759671
14000,41.6976540,41.006977,133.830886
16000,61.631934344,61.631934,132.918106
16000,61.642529985,61.642530,132.895259
16000,61.632593538,61.632594,132.916685
16000,61.643152620,61.643153,132.893917
16000,61.647603971,61.647604,132.884321
18000,87.427273549,87.427274,133.413745
18000,87.435162764,87.435163,133.401707
18000,87.382079359,87.382079,133.482747
18000,87.538273113,87.538273,133.244575
18000,87.394088941,87.394089,133.464404
20000,120.992068653,120.992069,132.240073
20000,121.5715566,121.005716,132.225159
20000,120.995174436,120.995174,132.236679
20000,121.78199853,121.078200,132.146002
20000,121.37449341,121.037449,132.190492
