Size,Total time,Compute time,Gflops
1000,0.6559424,0.006559,304.904821
1000,0.6818236,0.006818,293.331002
1000,0.5813853,0.005814,344.005946
1000,0.6571694,0.006572,304.335534
1000,0.7459690,0.007460,268.107656
1500,0.9138800,0.009139,738.609008
1500,0.9443431,0.009443,714.782583
1500,0.9376392,0.009376,719.893110
1500,0.9025140,0.009025,747.910836
1500,0.9347865,0.009348,722.090017
2000,0.15368987,0.015369,1041.057553
2000,0.15475598,0.015476,1033.885734
2000,0.15791022,0.015791,1013.233976
2000,0.15571528,0.015572,1027.516375
2000,0.15510021,0.015510,1031.591124
2500,0.26192411,0.026192,1193.093679
2500,0.25719001,0.025719,1215.054970
2500,0.25920686,0.025921,1205.600809
2500,0.25787552,0.025788,1211.824992
2500,0.25720442,0.025720,1214.986896
3000,0.39789724,0.039790,1357.134319
3000,0.39558364,0.039558,1365.071619
3000,0.39978817,0.039979,1350.715305
3000,0.39777131,0.039777,1357.563973
3000,0.40216328,0.040216,1342.738203
3500,0.62240473,0.062240,1377.720892
3500,0.61902448,0.061902,1385.244086
3500,0.61938213,0.061938,1384.444204
3500,0.61484778,0.061485,1394.654137
3500,0.61556347,0.061556,1393.032631
4000,0.86038800,0.086039,1487.700898
4000,0.86296738,0.086297,1483.254211
4000,0.85682145,0.085682,1493.893506
4000,0.86041583,0.086042,1487.652778
4000,0.85964712,0.085965,1488.983061
4500,0.121401061,0.121401,1501.222465
4500,0.120663065,0.120663,1510.404199
4500,0.121290988,0.121291,1502.584842
4500,0.121594338,0.121594,1498.836237
4500,0.121236481,0.121236,1503.260392
5000,0.166794567,0.166795,1498.849780
5000,0.166721542,0.166722,1499.506285
5000,0.166652585,0.166653,1500.126746
5000,0.166952818,0.166953,1497.429052
5000,0.166955716,0.166956,1497.403060
6000,0.277803564,0.277804,1555.055644
6000,0.278203174,0.278203,1552.821967
6000,0.276946809,0.276947,1559.866321
6000,0.276917536,0.276918,1560.031214
6000,0.276968179,0.276968,1559.745966
7000,0.431381710,0.431382,1590.238956
7000,0.431370049,0.431370,1590.281944
7000,0.431033362,0.431033,1591.524138
7000,0.431640306,0.431640,1589.286242
7000,0.431185154,0.431185,1590.963867
8000,0.634030327,0.634030,1615.064700
8000,0.633455912,0.633456,1616.529234
8000,0.633006347,0.633006,1617.677303
8000,0.632898924,0.632899,1617.951874
8000,0.632485027,0.632485,1619.010658
9000,0.903162967,0.903163,1614.326598
9000,0.902459719,0.902460,1615.584573
9000,0.900526117,0.900526,1619.053543
9000,0.902336200,0.902336,1615.805727
9000,0.903161101,0.903161,1614.329933
10000,1.245134435,1.245134,1606.252260
10000,1.243882510,1.243883,1607.868898
10000,1.244546929,1.244547,1607.010514
10000,1.243671698,1.243672,1608.141444
10000,1.243687738,1.243688,1608.120703
12000,2.144888782,2.144889,1611.272355
12000,2.143347365,2.143347,1612.431124
12000,2.143861631,2.143862,1612.044336
12000,2.144219301,2.144219,1611.775437
12000,2.142375108,2.142375,1613.162880
14000,3.349585103,3.349585,1638.411872
14000,3.350669319,3.350669,1637.881712
14000,3.351481941,3.351482,1637.484580
14000,3.349484662,3.349485,1638.461003
14000,3.349595374,3.349595,1638.406848
16000,5.22971393,5.022971,1630.907158
16000,5.22110172,5.022110,1631.186836
16000,5.20954947,5.020955,1631.562140
16000,5.19834435,5.019834,1631.926333
16000,5.18994334,5.018994,1632.199492
18000,7.155148031,7.155148,1630.154953
18000,7.158496269,7.158496,1629.392482
18000,7.158114902,7.158115,1629.479292
18000,7.155871499,7.155871,1629.990142
18000,7.161439298,7.161439,1628.722875
20000,9.858863221,9.858863,1622.905161
20000,9.858191242,9.858191,1623.015785
20000,9.857728999,9.857729,1623.091891
20000,9.863502513,9.863503,1622.141828
20000,9.857270050,9.857270,1623.167461
