Size,Total time,Compute time,Gflops
6000,3.516236146,3.516236,122.858643
6000,3.605182085,3.605182,119.827512
6000,3.509304713,3.509305,123.101308
6000,3.496911408,3.496911,123.537588
6000,3.507371480,3.507371,123.169160
6100,3.593721350,3.593721,126.320868
6100,3.616755099,3.616755,125.516378
6100,3.587658607,3.587659,126.534336
6100,3.602722898,3.602723,126.005250
6100,3.659816306,3.659816,124.039559
6144,3.830976952,3.830977,121.080464
6144,3.834232788,3.834233,120.977649
6144,3.796850064,3.796850,122.168761
6144,3.852173875,3.852174,120.414208
6144,3.848722083,3.848722,120.522204
6150,3.919504794,3.919505,118.692737
6150,3.833747386,3.833747,121.347784
6150,3.880343190,3.880343,119.890620
6150,3.829081684,3.829082,121.495645
6150,3.867343702,3.867344,120.293614
6200,3.866402516,3.866403,123.281525
6200,3.786494839,3.786495,125.883177
6200,3.823371103,3.823371,124.669039
6200,3.810321082,3.810321,125.096019
6200,3.819924429,3.819924,124.781526
6300,3.992738888,3.992739,125.250865
6300,3.966273264,3.966273,126.086623
6300,4.11587998,4.011588,124.662353
6300,3.981913004,3.981913,125.591393
6300,4.79253050,4.079253,122.594503
6400,4.173676315,4.173676,125.617791
6400,4.196428084,4.196428,124.936729
6400,4.266776916,4.266777,122.876825
6400,4.137477723,4.137478,126.716815
6400,4.211313926,4.211314,124.495112
6500,4.451505557,4.451506,123.385222
6500,4.435777157,4.435777,123.822722
6500,4.499472031,4.499472,122.069878
6500,4.416550283,4.416550,124.361768
6500,4.453290438,4.453290,123.335769
6600,4.624265492,4.624265,124.342342
6600,4.676599891,4.676600,122.950865
6600,4.685036073,4.685036,122.729471
6600,4.622763624,4.622764,124.382739
6600,4.721089986,4.721090,121.792214
6700,4.840409903,4.840410,124.271707
6700,4.834231007,4.834231,124.430545
6700,4.867385184,4.867385,123.582987
6700,4.800520992,4.800521,125.304316
6700,4.979481804,4.979482,120.800923
6800,5.43056265,5.043056,124.698985
6800,5.63100880,5.063101,124.205307
6800,5.81837064,5.081837,123.747376
6800,5.122073539,5.122074,122.775277
6800,5.49389707,5.049390,124.542576
6900,5.264533551,5.264534,124.800800
6900,5.227127483,5.227127,125.693893
6900,5.154042179,5.154042,127.476256
6900,5.170854579,5.170855,127.061783
6900,5.135607894,5.135608,127.933832
7000,5.461164366,5.461164,125.614238
7000,5.471955368,5.471955,125.366520
7000,5.525410152,5.525410,124.153679
7000,5.473129860,5.473130,125.339617
7000,5.436620254,5.436620,126.181335
7100,5.680490141,5.680490,126.014126
7100,5.654292867,5.654293,126.597970
7100,5.674147816,5.674148,126.154979
7100,5.696095356,5.696095,125.668893
7100,5.691644279,5.691644,125.767171
7200,5.858807195,5.858807,127.414331
7200,5.911506789,5.911507,126.278464
7200,5.907475209,5.907475,126.364644
7200,5.922878202,5.922878,126.036021
7200,5.956860527,5.956861,125.317018
7300,6.181749439,6.181749,125.859841
7300,6.231441950,6.231442,124.856174
7300,6.203595394,6.203595,125.416625
7300,6.174780665,6.174781,126.001884
7300,6.311738629,6.311739,123.267779
7400,6.341545011,6.341545,127.799771
7400,6.322320409,6.322320,128.188378
7400,6.395598797,6.395599,126.719644
7400,6.432208333,6.432208,125.998406
7400,6.443312250,6.443312,125.781270
7500,6.666718820,6.666719,126.561510
7500,6.679923712,6.679924,126.311323
7500,6.729067357,6.729067,125.388847
7500,6.782308633,6.782309,124.404542
7500,6.747305241,6.747305,125.049923
